
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,852;  211,495;  220,903;110,07844
 176,32;  247,923;  239,266;  234,681; 0,00000
 176,92;  283,181;  272,880;  278,464;184,46349
 177,52;  279,953;  261,034;  277,765;113,07649
 178,12;  251,381;  246,728;  239,441; 0,00000
 178,72;  280,623;  280,728;  259,868; 0,00000
 179,32;  272,762;  264,958;  256,710; 0,00000
 179,92;  272,349;  263,342;  268,977;159,84561
 180,52;  263,936;  259,879;  273,789;29,16617
 181,12;  263,867;  277,881;  256,017; 0,00000
 181,73;  299,880;  280,188;  289,375;214,36463
 182,33;  405,968;  394,264;  386,146; 0,00000
 182,93;  286,849;  288,188;  294,880;-20,00768
 183,53;  259,797;  249,497;  239,413; 0,00000
 184,13;  257,911;  254,420;  244,570; 0,00000
 184,73;  297,634;  298,267;  300,295;-31,19559
 185,33;  286,717;  255,507;  366,926;28,01146
 185,93;  286,573;  249,508;  376,315;29,22944
 186,53;  291,691;  254,199;  407,611;24,43882
 187,13;  311,711;  292,198;  434,377;13,72442
 187,73;  276,997;  255,584;  389,711;15,96442
 188,33;  277,698;  254,739;  382,838;17,92277
 188,93;  290,165;  262,972;  407,196;18,85484
 189,53;  287,828;  261,127;  411,282;17,78238
 190,13;  328,240;  301,206;  452,201;17,90355
 190,73;  264,084;  234,974;  381,637;19,84864
 191,34;  310,534;  263,511;  421,861;29,69593
 191,94;  287,492;  251,278;  383,915;27,30320
 192,54;  292,883;  269,043;  407,504;17,21742
 193,14;  299,110;  277,121;  406,597;16,98266
 193,74;  301,696;  274,891;  414,642;19,18037
 194,34;  291,982;  267,429;  394,312;19,35096
 194,94;  263,545;  239,352;  369,250;18,62414
 195,54;  231,937;  219,506;  349,176; 9,58646
 196,14;  264,533;  240,967;  384,854;16,37814
 196,74;  257,680;  243,045;  363,077;12,19286
 197,34;  239,517;  217,889;  356,094;15,64935
 197,94;  263,982;  241,044;  380,589;16,43768
 198,54;  272,911;  257,890;  399,498;10,60734
 199,14;  250,480;  218,351;  403,167;17,38433
