
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,504;  191,519;  191,486; 0,00000
 176,32;  225,365;  226,381;  214,940; 0,00000
 176,92;  252,366;  241,524;  244,812;329,76727
 177,52;  266,201;  247,676;  245,839; 0,00000
 178,12;  243,920;  222,611;  217,278; 0,00000
 178,72;  263,021;  259,077;  248,897; 0,00000
 179,32;  245,511;  243,304;  231,741; 0,00000
 179,92;  257,066;  248,144;  237,554; 0,00000
 180,52;  249,859;  228,126;  237,935;221,56104
 181,12;  261,389;  232,682;  237,833;557,22744
 181,73;  282,908;  263,757;  264,029; 0,00000
 182,33;  348,595;  317,286;  327,322;311,97483
 182,93;  277,013;  258,060;  265,199;265,50833
 183,53;  237,503;  223,541;  225,512;708,56987
 184,13;  231,534;  226,770;  231,532;100,03368
 184,73;  274,737;  254,697;  264,670;200,93861
 185,33;  253,193;  232,099;  346,488;18,44079
 185,93;  260,296;  234,572;  343,963;23,51548
 186,53;  286,689;  246,720;  358,116;35,87986
 187,13;  306,721;  264,246;  412,664;28,61870
 187,73;  257,618;  228,801;  351,876;23,41425
 188,33;  272,654;  231,269;  359,775;32,20415
 188,93;  274,616;  241,675;  374,002;24,89383
 189,53;  281,776;  236,613;  379,198;31,67431
 190,13;  315,293;  276,331;  414,750;28,14758
 190,73;  261,002;  219,314;  352,281;31,35220
 191,34;  280,642;  248,296;  381,720;24,24285
 191,94;  268,382;  221,276;  358,118;34,42339
 192,54;  271,648;  259,775;  371,233;10,65209
 193,14;  287,390;  247,555;  368,494;32,93804
 193,74;  286,213;  243,865;  364,133;35,21183
 194,34;  268,582;  238,014;  369,577;23,23484
 194,94;  252,971;  207,324;  338,161;34,88853
 195,54;  223,739;  189,329;  331,243;24,24724
 196,14;  249,296;  216,165;  357,725;23,40446
 196,74;  245,470;  215,486;  327,390;26,79444
 197,34;  220,370;  195,926;  336,271;17,41698
 197,94;  251,157;  224,630;  362,240;19,27655
 198,54;  260,903;  226,165;  386,988;21,60029
 199,14;  246,620;  218,614;  377,550;17,62089
