
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,803;  221,350;  228,728;46,79723
 176,32;  234,826;  238,954;  240,531;-261,75761
 176,92;  277,235;  291,039;  289,640; 0,00000
 177,52;  271,362;  271,733;  277,401;-6,53571
 178,12;  249,270;  247,031;  248,036;222,82881
 178,72;  278,365;  285,643;  277,638; 0,00000
 179,32;  258,967;  284,184;  262,408; 0,00000
 179,92;  272,808;  268,881;  272,660;103,93063
 180,52;  268,987;  263,049;  266,586;167,88478
 181,12;  280,134;  284,574;  282,578; 0,00000
 181,73;  295,829;  292,652;  296,881;75,13627
 182,33;  402,471;  397,890;  417,136;23,80096
 182,93;  292,543;  290,963;  295,910;31,94124
 183,53;  256,446;  258,180;  243,740; 0,00000
 184,13;  263,097;  258,874;  250,885; 0,00000
 184,73;  311,383;  306,794;  303,394; 0,00000
 185,33;  276,475;  260,800;  373,908;13,85839
 185,93;  289,068;  253,483;  379,369;28,26722
 186,53;  300,666;  264,719;  402,883;26,01769
 187,13;  334,118;  287,420;  419,772;35,28283
 187,73;  286,351;  260,100;  388,086;20,51118
 188,33;  275,011;  254,095;  389,542;15,44226
 188,93;  298,668;  266,003;  406,332;23,27724
 189,53;  295,175;  268,991;  406,810;18,99853
 190,13;  336,263;  316,356;  458,051;14,04904
 190,73;  279,360;  234,677;  381,566;30,41933
 191,34;  306,735;  281,306;  433,694;16,68669
 191,94;  290,790;  262,013;  385,124;23,37487
 192,54;  298,541;  265,120;  407,766;23,42955
 193,14;  305,395;  287,881;  417,654;13,49609
 193,74;  294,295;  288,495;  407,401; 4,87808
 194,34;  294,325;  282,422;  401,412;10,00326
 194,94;  265,346;  237,189;  367,239;21,65077
 195,54;  243,830;  219,800;  337,060;20,49270
 196,14;  262,537;  249,347;  378,001;10,25216
 196,74;  253,362;  243,875;  367,071; 7,70087
 197,34;  242,073;  210,275;  361,325;21,05127
 197,94;  277,423;  234,805;  386,894;28,02178
 198,54;  286,909;  268,424;  406,032;13,43315
 199,14;  255,313;  231,971;  379,231;15,85108
