
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,744;  211,495;  220,903;87,67674
 176,32;  245,673;  239,266;  234,681; 0,00000
 176,92;  284,070;  272,880;  278,464;200,39668
 177,52;  271,440;  261,034;  277,765;62,19507
 178,12;  267,429;  246,728;  239,441; 0,00000
 178,72;  273,575;  280,728;  259,868; 0,00000
 179,32;  279,045;  264,958;  256,710; 0,00000
 179,92;  266,076;  263,342;  268,977;48,51697
 180,52;  264,208;  259,879;  273,789;31,12341
 181,12;  275,716;  277,881;  256,017; 0,00000
 181,73;  296,727;  280,188;  289,375;180,03924
 182,33;  406,345;  394,264;  386,146; 0,00000
 182,93;  291,466;  288,188;  294,880;48,98011
 183,53;  253,181;  249,497;  239,413; 0,00000
 184,13;  254,768;  254,420;  244,570; 0,00000
 184,73;  311,721;  298,267;  300,295;663,27708
 185,33;  275,114;  255,507;  366,926;17,59772
 185,93;  274,025;  249,508;  376,315;19,33415
 186,53;  302,274;  254,199;  407,611;31,33695
 187,13;  321,182;  292,198;  434,377;20,38578
 187,73;  283,779;  255,584;  389,711;21,02104
 188,33;  284,787;  254,739;  382,838;23,45680
 188,93;  302,785;  262,972;  407,196;27,60535
 189,53;  306,740;  261,127;  411,282;30,37709
 190,13;  346,526;  301,206;  452,201;30,01409
 190,73;  278,493;  234,974;  381,637;29,67275
 191,34;  311,049;  263,511;  421,861;30,02067
 191,94;  285,910;  251,278;  383,915;26,11044
 192,54;  289,967;  269,043;  407,504;15,11121
 193,14;  320,222;  277,121;  406,597;33,28892
 193,74;  298,956;  274,891;  414,642;17,21975
 194,34;  301,860;  267,429;  394,312;27,13621
 194,94;  271,171;  239,352;  369,250;24,49544
 195,54;  243,472;  219,506;  349,176;18,48201
 196,14;  264,549;  240,967;  384,854;16,38941
 196,74;  270,219;  243,045;  363,077;22,63886
 197,34;  239,053;  217,889;  356,094;15,31330
 197,94;  273,182;  241,044;  380,589;23,03043
 198,54;  284,383;  257,890;  399,498;18,70836
 199,14;  259,240;  218,351;  403,167;22,12465
