
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,492;  191,519;  191,486; 0,00000
 176,32;  232,856;  226,381;  214,940; 0,00000
 176,92;  282,100;  241,524;  244,812;1234,16199
 177,52;  265,037;  247,676;  245,839; 0,00000
 178,12;  240,933;  222,611;  217,278; 0,00000
 178,72;  268,458;  259,077;  248,897; 0,00000
 179,32;  266,388;  243,304;  231,741; 0,00000
 179,92;  258,702;  248,144;  237,554; 0,00000
 180,52;  249,471;  228,126;  237,935;217,60499
 181,12;  271,534;  232,682;  237,833;754,15604
 181,73;  278,324;  263,757;  264,029; 0,00000
 182,33;  387,618;  317,286;  327,322;700,80978
 182,93;  278,009;  258,060;  265,199;279,47043
 183,53;  254,003;  223,541;  225,512;1545,97423
 184,13;  253,206;  226,770;  231,532;555,10071
 184,73;  296,598;  254,697;  264,670;420,14008
 185,33;  258,762;  232,099;  346,488;23,30884
 185,93;  267,091;  234,572;  343,963;29,72708
 186,53;  285,937;  246,720;  358,116;35,20509
 187,13;  306,412;  264,246;  412,664;28,41027
 187,73;  273,140;  228,801;  351,876;36,02566
 188,33;  273,881;  231,269;  359,775;33,15957
 188,93;  289,078;  241,675;  374,002;35,82278
 189,53;  286,960;  236,613;  379,198;35,30965
 190,13;  312,918;  276,331;  414,750;26,43222
 190,73;  258,554;  219,314;  352,281;29,51135
 191,34;  294,106;  248,296;  381,720;34,33411
 191,94;  274,021;  221,276;  358,118;38,54470
 192,54;  278,635;  259,775;  371,233;16,92140
 193,14;  288,034;  247,555;  368,494;33,47108
 193,74;  282,146;  243,865;  364,133;31,83012
 194,34;  277,999;  238,014;  369,577;30,39274
 194,94;  250,853;  207,324;  338,161;33,26919
 195,54;  231,601;  189,329;  331,243;29,78685
 196,14;  257,104;  216,165;  357,725;28,92016
 196,74;  248,405;  215,486;  327,390;29,41730
 197,34;  228,901;  195,926;  336,271;23,49546
 197,94;  247,915;  224,630;  362,240;16,92116
 198,54;  269,789;  226,165;  386,988;27,12589
 199,14;  230,118;  218,614;  377,550; 7,23768
