
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,734;  221,350;  228,728;-76,12894
 176,32;  240,184;  238,954;  240,531;78,01085
 176,92;  279,037;  291,039;  289,640; 0,00000
 177,52;  285,248;  271,733;  277,401;238,43316
 178,12;  252,529;  247,031;  248,036;547,16817
 178,72;  281,629;  285,643;  277,638; 0,00000
 179,32;  280,481;  284,184;  262,408; 0,00000
 179,92;  273,022;  268,881;  272,660;109,59694
 180,52;  263,615;  263,049;  266,586;16,01488
 181,12;  290,846;  284,574;  282,578; 0,00000
 181,73;  299,491;  292,652;  296,881;161,74936
 182,33;  410,729;  397,890;  417,136;66,70638
 182,93;  289,976;  290,963;  295,910;-19,96304
 183,53;  256,565;  258,180;  243,740; 0,00000
 184,13;  259,598;  258,874;  250,885; 0,00000
 184,73;  309,575;  306,794;  303,394; 0,00000
 185,33;  275,584;  260,800;  373,908;13,07106
 185,93;  277,207;  253,483;  379,369;18,84496
 186,53;  296,353;  264,719;  402,883;22,89600
 187,13;  314,897;  287,420;  419,772;20,76049
 187,73;  281,816;  260,100;  388,086;16,96786
 188,33;  290,167;  254,095;  389,542;26,63157
 188,93;  285,947;  266,003;  406,332;14,21251
 189,53;  295,172;  268,991;  406,810;18,99698
 190,13;  340,025;  316,356;  458,051;16,70413
 190,73;  280,112;  234,677;  381,566;30,93177
 191,34;  295,150;  281,306;  433,694; 9,08475
 191,94;  285,654;  262,013;  385,124;19,20320
 192,54;  289,606;  265,120;  407,766;17,16606
 193,14;  307,909;  287,881;  417,654;15,43325
 193,74;  309,657;  288,495;  407,401;17,79706
 194,34;  296,738;  282,422;  401,412;12,03154
 194,94;  266,868;  237,189;  367,239;22,82104
 195,54;  244,611;  219,800;  337,060;21,15932
 196,14;  276,315;  249,347;  378,001;20,96190
 196,74;  268,013;  243,875;  367,071;19,59359
 197,34;  243,809;  210,275;  361,325;22,20065
 197,94;  267,344;  234,805;  386,894;21,39486
 198,54;  294,228;  268,424;  406,032;18,75188
 199,14;  259,745;  231,971;  379,231;18,86045
