
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  228,923;  221,350;  228,728;102,64807
 176,32;  247,368;  238,954;  240,531;533,57481
 176,92;  286,609;  291,039;  289,640; 0,00000
 177,52;  274,513;  271,733;  277,401;49,05155
 178,12;  255,252;  247,031;  248,036;818,14252
 178,72;  282,351;  285,643;  277,638; 0,00000
 179,32;  261,127;  284,184;  262,408; 0,00000
 179,92;  285,593;  268,881;  272,660;442,27715
 180,52;  254,114;  263,049;  266,586;-252,59106
 181,12;  280,802;  284,574;  282,578; 0,00000
 181,73;  296,755;  292,652;  296,881;97,03224
 182,33;  417,226;  397,890;  417,136;100,46310
 182,93;  296,548;  290,963;  295,910;112,90966
 183,53;  255,056;  258,180;  243,740; 0,00000
 184,13;  253,627;  258,874;  250,885; 0,00000
 184,73;  296,680;  306,794;  303,394; 0,00000
 185,33;  269,432;  260,800;  373,908; 7,63178
 185,93;  291,436;  253,483;  379,369;30,14810
 186,53;  306,815;  264,719;  402,883;30,46783
 187,13;  314,593;  287,420;  419,772;20,53070
 187,73;  300,354;  260,100;  388,086;31,45164
 188,33;  282,779;  254,095;  389,542;21,17731
 188,93;  306,092;  266,003;  406,332;28,56803
 189,53;  292,313;  268,991;  406,810;16,92222
 190,13;  339,851;  316,356;  458,051;16,58110
 190,73;  281,020;  234,677;  381,566;31,54959
 191,34;  320,293;  281,306;  433,694;25,58427
 191,94;  289,649;  262,013;  385,124;22,44828
 192,54;  298,151;  265,120;  407,766;23,15610
 193,14;  306,605;  287,881;  417,654;14,42805
 193,74;  305,198;  288,495;  407,401;14,04711
 194,34;  305,973;  282,422;  401,412;19,79249
 194,94;  259,640;  237,189;  367,239;17,26351
 195,54;  243,921;  219,800;  337,060;20,57039
 196,14;  260,089;  249,347;  378,001; 8,34983
 196,74;  255,476;  243,875;  367,071; 9,41670
 197,34;  236,355;  210,275;  361,325;17,26542
 197,94;  269,348;  234,805;  386,894;22,71228
 198,54;  284,771;  268,424;  406,032;11,87965
 199,14;  249,753;  231,971;  379,231;12,07524
