
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,199;  221,350;  228,728;38,61428
 176,32;  240,058;  238,954;  240,531;70,03176
 176,92;  286,924;  291,039;  289,640; 0,00000
 177,52;  270,304;  271,733;  277,401;-25,19662
 178,12;  261,716;  247,031;  248,036;1461,40571
 178,72;  282,934;  285,643;  277,638; 0,00000
 179,32;  275,586;  284,184;  262,408; 0,00000
 179,92;  278,561;  268,881;  272,660;256,17877
 180,52;  258,994;  263,049;  266,586;-114,63837
 181,12;  273,779;  284,574;  282,578; 0,00000
 181,73;  291,512;  292,652;  296,881;-26,97494
 182,33;  413,437;  397,890;  417,136;80,77975
 182,93;  285,107;  290,963;  295,910;-118,39097
 183,53;  249,775;  258,180;  243,740; 0,00000
 184,13;  244,209;  258,874;  250,885; 0,00000
 184,73;  322,460;  306,794;  303,394; 0,00000
 185,33;  273,179;  260,800;  373,908;10,94481
 185,93;  285,940;  253,483;  379,369;25,78275
 186,53;  305,828;  264,719;  402,883;29,75390
 187,13;  322,779;  287,420;  419,772;26,71592
 187,73;  286,563;  260,100;  388,086;20,67661
 188,33;  285,632;  254,095;  389,542;23,28336
 188,93;  307,324;  266,003;  406,332;29,44622
 189,53;  304,501;  268,991;  406,810;25,76576
 190,13;  345,611;  316,356;  458,051;20,64637
 190,73;  265,760;  234,677;  381,566;21,16115
 191,34;  318,865;  281,306;  433,694;24,64671
 191,94;  273,141;  262,013;  385,124; 9,03908
 192,54;  311,562;  265,120;  407,766;32,55752
 193,14;  318,705;  287,881;  417,654;23,75225
 193,74;  316,435;  288,495;  407,401;23,49767
 194,34;  294,556;  282,422;  401,412;10,19792
 194,94;  273,508;  237,189;  367,239;27,92688
 195,54;  233,519;  219,800;  337,060;11,69928
 196,14;  271,309;  249,347;  378,001;17,07045
 196,74;  268,514;  243,875;  367,071;19,99964
 197,34;  246,325;  210,275;  361,325;23,86620
 197,94;  269,614;  234,805;  386,894;22,88703
 198,54;  286,836;  268,424;  406,032;13,38043
 199,14;  264,294;  231,971;  379,231;21,94976
