
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  223,511;  221,350;  228,728;29,28261
 176,32;  243,754;  238,954;  240,531;304,39797
 176,92;  287,815;  291,039;  289,640; 0,00000
 177,52;  281,853;  271,733;  277,401;178,52849
 178,12;  247,473;  247,031;  248,036;44,03592
 178,72;  287,019;  285,643;  277,638; 0,00000
 179,32;  275,891;  284,184;  262,408; 0,00000
 179,92;  273,180;  268,881;  272,660;113,76052
 180,52;  263,534;  263,049;  266,586;13,72169
 181,12;  273,894;  284,574;  282,578; 0,00000
 181,73;  306,382;  292,652;  296,881;324,71617
 182,33;  418,526;  397,890;  417,136;107,22139
 182,93;  293,325;  290,963;  295,910;47,74936
 183,53;  264,927;  258,180;  243,740; 0,00000
 184,13;  247,970;  258,874;  250,885; 0,00000
 184,73;  312,796;  306,794;  303,394; 0,00000
 185,33;  281,881;  260,800;  373,908;18,63830
 185,93;  302,029;  253,483;  379,369;38,56322
 186,53;  309,609;  264,719;  402,883;32,49028
 187,13;  332,647;  287,420;  419,772;34,17174
 187,73;  293,429;  260,100;  388,086;26,04152
 188,33;  294,861;  254,095;  389,542;30,09713
 188,93;  302,573;  266,003;  406,332;26,06041
 189,53;  327,948;  268,991;  406,810;42,77866
 190,13;  360,580;  316,356;  458,051;31,21079
 190,73;  292,468;  234,677;  381,566;39,34346
 191,34;  329,136;  281,306;  433,694;31,38707
 191,94;  311,759;  262,013;  385,124;40,40792
 192,54;  313,962;  265,120;  407,766;34,24008
 193,14;  307,840;  287,881;  417,654;15,38004
 193,74;  316,198;  288,495;  407,401;23,29858
 194,34;  305,971;  282,422;  401,412;19,79084
 194,94;  269,697;  237,189;  367,239;24,99702
 195,54;  245,507;  219,800;  337,060;21,92332
 196,14;  262,684;  249,347;  378,001;10,36668
 196,74;  260,146;  243,875;  367,071;13,20739
 197,34;  243,615;  210,275;  361,325;22,07170
 197,94;  274,977;  234,805;  386,894;26,41326
 198,54;  283,360;  268,424;  406,032;10,85410
 199,14;  254,003;  231,971;  379,231;14,96125
