
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,857;  191,519;  191,486; 0,00000
 176,32;  229,687;  226,381;  214,940; 0,00000
 176,92;  267,046;  241,524;  244,812;776,28597
 177,52;  262,146;  247,676;  245,839; 0,00000
 178,12;  247,094;  222,611;  217,278; 0,00000
 178,72;  278,675;  259,077;  248,897; 0,00000
 179,32;  259,671;  243,304;  231,741; 0,00000
 179,92;  257,989;  248,144;  237,554; 0,00000
 180,52;  245,585;  228,126;  237,935;177,99243
 181,12;  262,463;  232,682;  237,833;578,08027
 181,73;  282,633;  263,757;  264,029; 0,00000
 182,33;  374,630;  317,286;  327,322;571,39333
 182,93;  279,082;  258,060;  265,199;294,49178
 183,53;  241,985;  223,541;  225,512;936,06174
 184,13;  250,319;  226,770;  231,532;494,47789
 184,73;  288,716;  254,697;  264,670;341,11210
 185,33;  269,683;  232,099;  346,488;32,85668
 185,93;  284,536;  234,572;  343,963;45,67456
 186,53;  293,991;  246,720;  358,116;42,43544
 187,13;  323,395;  264,246;  412,664;39,85304
 187,73;  281,539;  228,801;  351,876;42,85030
 188,33;  286,251;  231,269;  359,775;42,78512
 188,93;  288,584;  241,675;  374,002;35,44950
 189,53;  306,234;  236,613;  379,198;48,82788
 190,13;  337,295;  276,331;  414,750;44,04304
 190,73;  279,587;  219,314;  352,281;45,32937
 191,34;  309,808;  248,296;  381,720;46,10270
 191,94;  272,126;  221,276;  358,118;37,15934
 192,54;  292,946;  259,775;  371,233;29,76129
 193,14;  312,135;  247,555;  368,494;53,39941
 193,74;  289,741;  243,865;  364,133;38,14506
 194,34;  285,244;  238,014;  369,577;35,89971
 194,94;  253,302;  207,324;  338,161;35,14144
 195,54;  230,767;  189,329;  331,243;29,19907
 196,14;  253,706;  216,165;  357,725;26,51971
 196,74;  252,427;  215,486;  327,390;33,01125
 197,34;  228,809;  195,926;  336,271;23,42962
 197,94;  262,953;  224,630;  362,240;27,84868
 198,54;  283,921;  226,165;  386,988;35,91279
 199,14;  244,241;  218,614;  377,550;16,12408
