
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,810;  191,519;  191,486; 0,00000
 176,32;  230,005;  226,381;  214,940; 0,00000
 176,92;  250,135;  241,524;  244,812;261,92720
 177,52;  248,676;  247,676;  245,839; 0,00000
 178,12;  236,588;  222,611;  217,278; 0,00000
 178,72;  250,562;  259,077;  248,897; 0,00000
 179,32;  243,609;  243,304;  231,741; 0,00000
 179,92;  244,450;  248,144;  237,554; 0,00000
 180,52;  239,323;  228,126;  237,935;114,15052
 181,12;  259,363;  232,682;  237,833;517,90208
 181,73;  275,254;  263,757;  264,029; 0,00000
 182,33;  337,284;  317,286;  327,322;199,26348
 182,93;  266,862;  258,060;  265,199;123,30483
 183,53;  235,088;  223,541;  225,512;585,98646
 184,13;  235,221;  226,770;  231,532;177,46420
 184,73;  265,459;  254,697;  264,670;107,91475
 185,33;  250,895;  232,099;  346,488;16,43180
 185,93;  252,314;  234,572;  343,963;16,21868
 186,53;  271,451;  246,720;  358,116;22,20122
 187,13;  296,747;  264,246;  412,664;21,89863
 187,73;  263,172;  228,801;  351,876;27,92708
 188,33;  271,914;  231,269;  359,775;31,62890
 188,93;  272,622;  241,675;  374,002;23,38700
 189,53;  277,597;  236,613;  379,198;28,74369
 190,13;  302,092;  276,331;  414,750;18,61070
 190,73;  270,217;  219,314;  352,281;38,28243
 191,34;  288,452;  248,296;  381,720;30,09650
 191,94;  251,864;  221,276;  358,118;22,35302
 192,54;  276,558;  259,775;  371,233;15,05715
 193,14;  277,593;  247,555;  368,494;24,83719
 193,74;  280,162;  243,865;  364,133;30,18036
 194,34;  262,298;  238,014;  369,577;18,45860
 194,94;  233,241;  207,324;  338,161;19,80831
 195,54;  211,236;  189,329;  331,243;15,43689
 196,14;  238,290;  216,165;  357,725;15,62937
 196,74;  234,608;  215,486;  327,390;17,08747
 197,34;  209,791;  195,926;  336,271; 9,87877
 197,94;  238,968;  224,630;  362,240;10,41882
 198,54;  252,509;  226,165;  386,988;16,38113
 199,14;  228,234;  218,614;  377,550; 6,05239
