
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,999;  221,350;  228,728;-45,42785
 176,32;  237,161;  238,954;  240,531;-113,68668
 176,92;  295,343;  291,039;  289,640; 0,00000
 177,52;  285,071;  271,733;  277,401;235,31087
 178,12;  262,519;  247,031;  248,036;1541,34059
 178,72;  290,280;  285,643;  277,638; 0,00000
 179,32;  271,450;  284,184;  262,408; 0,00000
 179,92;  283,823;  268,881;  272,660;395,42134
 180,52;  271,578;  263,049;  266,586;241,11109
 181,12;  278,810;  284,574;  282,578; 0,00000
 181,73;  306,968;  292,652;  296,881;338,56410
 182,33;  421,077;  397,890;  417,136;120,47393
 182,93;  293,612;  290,963;  295,910;53,55247
 183,53;  261,249;  258,180;  243,740; 0,00000
 184,13;  262,763;  258,874;  250,885; 0,00000
 184,73;  313,734;  306,794;  303,394; 0,00000
 185,33;  281,748;  260,800;  373,908;18,52067
 185,93;  286,916;  253,483;  379,369;26,55751
 186,53;  311,193;  264,719;  402,883;33,63676
 187,13;  327,938;  287,420;  419,772;30,61391
 187,73;  293,609;  260,100;  388,086;26,18174
 188,33;  297,565;  254,095;  389,542;32,09354
 188,93;  306,334;  266,003;  406,332;28,74027
 189,53;  294,029;  268,991;  406,810;18,16729
 190,13;  347,065;  316,356;  458,051;21,67252
 190,73;  284,774;  234,677;  381,566;34,10546
 191,34;  316,592;  281,306;  433,694;23,15564
 191,94;  290,353;  262,013;  385,124;23,02031
 192,54;  312,605;  265,120;  407,766;33,28881
 193,14;  318,932;  287,881;  417,654;23,92746
 193,74;  320,130;  288,495;  407,401;26,60507
 194,34;  315,632;  282,422;  401,412;27,91004
 194,94;  277,550;  237,189;  367,239;31,03534
 195,54;  245,780;  219,800;  337,060;22,15615
 196,14;  271,756;  249,347;  378,001;17,41792
 196,74;  266,004;  243,875;  367,071;17,96245
 197,34;  249,978;  210,275;  361,325;26,28461
 197,94;  281,435;  234,805;  386,894;30,65938
 198,54;  290,968;  268,424;  406,032;16,38286
 199,14;  257,912;  231,971;  379,231;17,61580
