
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,613;  191,519;  191,486; 0,00000
 176,32;  227,889;  226,381;  214,940; 0,00000
 176,92;  269,786;  241,524;  244,812;859,62301
 177,52;  264,743;  247,676;  245,839; 0,00000
 178,12;  235,742;  222,611;  217,278; 0,00000
 178,72;  272,529;  259,077;  248,897; 0,00000
 179,32;  253,805;  243,304;  231,741; 0,00000
 179,92;  260,798;  248,144;  237,554; 0,00000
 180,52;  259,832;  228,126;  237,935;323,23828
 181,12;  263,488;  232,682;  237,833;597,97043
 181,73;  285,677;  263,757;  264,029; 0,00000
 182,33;  376,140;  317,286;  327,322;586,44438
 182,93;  280,867;  258,060;  265,199;319,50211
 183,53;  249,281;  223,541;  225,512;1306,29982
 184,13;  244,352;  226,770;  231,532;369,19569
 184,73;  301,547;  254,697;  264,670;469,76596
 185,33;  263,211;  232,099;  346,488;27,19863
 185,93;  265,423;  234,572;  343,963;28,20206
 186,53;  284,331;  246,720;  358,116;33,76394
 187,13;  304,933;  264,246;  412,664;27,41410
 187,73;  266,411;  228,801;  351,876;30,55859
 188,33;  275,088;  231,269;  359,775;34,09826
 188,93;  284,689;  241,675;  374,002;32,50626
 189,53;  288,564;  236,613;  379,198;36,43503
 190,13;  324,262;  276,331;  414,750;34,62724
 190,73;  265,691;  219,314;  352,281;34,87852
 191,34;  297,888;  248,296;  381,720;37,16832
 191,94;  274,465;  221,276;  358,118;38,86892
 192,54;  279,712;  259,775;  371,233;17,88747
 193,14;  301,313;  247,555;  368,494;44,45078
 193,74;  283,095;  243,865;  364,133;32,61897
 194,34;  286,845;  238,014;  369,577;37,11631
 194,94;  255,667;  207,324;  338,161;36,94928
 195,54;  217,364;  189,329;  331,243;19,75463
 196,14;  252,054;  216,165;  357,725;25,35286
 196,74;  243,986;  215,486;  327,390;25,46793
 197,34;  225,006;  195,926;  336,271;20,71998
 197,94;  259,671;  224,630;  362,240;25,46392
 198,54;  267,431;  226,165;  386,988;25,65959
 199,14;  251,881;  218,614;  377,550;20,93062
