
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,936;  221,350;  228,728;-19,17246
 176,32;  247,066;  238,954;  240,531;514,42250
 176,92;  288,792;  291,039;  289,640; 0,00000
 177,52;  274,934;  271,733;  277,401;56,47373
 178,12;  259,669;  247,031;  248,036;1257,69812
 178,72;  289,499;  285,643;  277,638; 0,00000
 179,32;  283,822;  284,184;  262,408; 0,00000
 179,92;  281,173;  268,881;  272,660;325,29306
 180,52;  263,954;  263,049;  266,586;25,59855
 181,12;  281,738;  284,574;  282,578; 0,00000
 181,73;  311,598;  292,652;  296,881;448,06760
 182,33;  412,309;  397,890;  417,136;74,91660
 182,93;  293,575;  290,963;  295,910;52,79480
 183,53;  261,485;  258,180;  243,740; 0,00000
 184,13;  270,768;  258,874;  250,885; 0,00000
 184,73;  314,407;  306,794;  303,394; 0,00000
 185,33;  287,625;  260,800;  373,908;23,71653
 185,93;  278,592;  253,483;  379,369;19,94526
 186,53;  314,852;  264,719;  402,883;36,28532
 187,13;  329,476;  287,420;  419,772;31,77561
 187,73;  298,041;  260,100;  388,086;29,64503
 188,33;  296,114;  254,095;  389,542;31,02238
 188,93;  302,690;  266,003;  406,332;26,14361
 189,53;  294,923;  268,991;  406,810;18,81591
 190,13;  350,893;  316,356;  458,051;24,37391
 190,73;  290,815;  234,677;  381,566;38,21781
 191,34;  316,327;  281,306;  433,694;22,98139
 191,94;  292,379;  262,013;  385,124;24,66532
 192,54;  306,892;  265,120;  407,766;29,28412
 193,14;  308,668;  287,881;  417,654;16,01759
 193,74;  314,320;  288,495;  407,401;21,71888
 194,34;  303,926;  282,422;  401,412;18,07223
 194,94;  268,847;  237,189;  367,239;24,34301
 195,54;  247,292;  219,800;  337,060;23,44543
 196,14;  272,389;  249,347;  378,001;17,91035
 196,74;  266,957;  243,875;  367,071;18,73598
 197,34;  249,523;  210,275;  361,325;25,98293
 197,94;  265,707;  234,805;  386,894;20,31823
 198,54;  288,992;  268,424;  406,032;14,94682
 199,14;  271,795;  231,971;  379,231;27,04305
