
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,091;  211,495;  220,903;-14,92357
 176,32;  237,313;  239,266;  234,681; 0,00000
 176,92;  274,999;  272,880;  278,464;37,94155
 177,52;  282,538;  261,034;  277,765;128,53123
 178,12;  251,487;  246,728;  239,441; 0,00000
 178,72;  270,790;  280,728;  259,868; 0,00000
 179,32;  267,766;  264,958;  256,710; 0,00000
 179,92;  269,513;  263,342;  268,977;109,51579
 180,52;  255,500;  259,879;  273,789;-31,48622
 181,12;  264,690;  277,881;  256,017; 0,00000
 181,73;  295,679;  280,188;  289,375;168,63228
 182,33;  390,193;  394,264;  386,146; 0,00000
 182,93;  278,734;  288,188;  294,880;-141,27447
 183,53;  246,796;  249,497;  239,413; 0,00000
 184,13;  253,764;  254,420;  244,570; 0,00000
 184,73;  300,017;  298,267;  300,295;86,27049
 185,33;  264,650;  255,507;  366,926; 8,20648
 185,93;  279,834;  249,508;  376,315;23,91539
 186,53;  288,958;  254,199;  407,611;22,65687
 187,13;  305,915;  292,198;  434,377; 9,64743
 187,73;  280,705;  255,584;  389,711;18,72909
 188,33;  280,931;  254,739;  382,838;20,44674
 188,93;  295,840;  262,972;  407,196;22,79012
 189,53;  281,132;  261,127;  411,282;13,32328
 190,13;  325,950;  301,206;  452,201;16,38699
 190,73;  267,230;  234,974;  381,637;21,99338
 191,34;  297,367;  263,511;  421,861;21,38096
 191,94;  278,077;  251,278;  383,915;20,20495
 192,54;  279,899;  269,043;  407,504; 7,84019
 193,14;  306,576;  277,121;  406,597;22,74909
 193,74;  297,463;  274,891;  414,642;16,15153
 194,34;  292,555;  267,429;  394,312;19,80271
 194,94;  253,310;  239,352;  369,250;10,74505
 195,54;  234,046;  219,506;  349,176;11,21270
 196,14;  256,055;  240,967;  384,854;10,48613
 196,74;  259,605;  243,045;  363,077;13,79637
 197,34;  243,869;  217,889;  356,094;18,79829
 197,94;  256,737;  241,044;  380,589;11,24558
 198,54;  280,200;  257,890;  399,498;15,75485
 199,14;  254,761;  218,351;  403,167;19,70116
