
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  223,779;  221,350;  228,728;32,92239
 176,32;  242,410;  238,954;  240,531;219,20411
 176,92;  285,617;  291,039;  289,640; 0,00000
 177,52;  283,352;  271,733;  277,401;204,97489
 178,12;  264,621;  247,031;  248,036;1750,54521
 178,72;  279,966;  285,643;  277,638; 0,00000
 179,32;  282,629;  284,184;  262,408; 0,00000
 179,92;  261,751;  268,881;  272,660;-188,69711
 180,52;  256,620;  263,049;  266,586;-181,76596
 181,12;  271,533;  284,574;  282,578; 0,00000
 181,73;  301,992;  292,652;  296,881;220,88853
 182,33;  408,440;  397,890;  417,136;54,81652
 182,93;  300,303;  290,963;  295,910;188,81382
 183,53;  263,519;  258,180;  243,740; 0,00000
 184,13;  255,237;  258,874;  250,885; 0,00000
 184,73;  308,542;  306,794;  303,394; 0,00000
 185,33;  282,271;  260,800;  373,908;18,98311
 185,93;  287,606;  253,483;  379,369;27,10635
 186,53;  307,178;  264,719;  402,883;30,73092
 187,13;  322,653;  287,420;  419,772;26,62049
 187,73;  303,575;  260,100;  388,086;33,96882
 188,33;  298,340;  254,095;  389,542;32,66552
 188,93;  299,777;  266,003;  406,332;24,06806
 189,53;  303,506;  268,991;  406,810;25,04382
 190,13;  349,782;  316,356;  458,051;23,59003
 190,73;  283,342;  234,677;  381,566;33,13042
 191,34;  309,716;  281,306;  433,694;18,64324
 191,94;  295,071;  262,013;  385,124;26,85243
 192,54;  304,037;  265,120;  407,766;27,28212
 193,14;  316,166;  287,881;  417,654;21,79604
 193,74;  318,229;  288,495;  407,401;25,00684
 194,34;  310,160;  282,422;  401,412;23,31183
 194,94;  280,041;  237,189;  367,239;32,95030
 195,54;  235,624;  219,800;  337,060;13,49461
 196,14;  270,515;  249,347;  378,001;16,45338
 196,74;  272,784;  243,875;  367,071;23,46563
 197,34;  250,172;  210,275;  361,325;26,41316
 197,94;  264,649;  234,805;  386,894;19,62280
 198,54;  287,579;  268,424;  406,032;13,92054
 199,14;  257,394;  231,971;  379,231;17,26419
