
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,778;  221,350;  228,728;-61,97303
 176,32;  249,811;  238,954;  240,531;688,46289
 176,92;  293,338;  291,039;  289,640; 0,00000
 177,52;  284,215;  271,733;  277,401;220,19759
 178,12;  254,480;  247,031;  248,036;741,26991
 178,72;  282,542;  285,643;  277,638; 0,00000
 179,32;  278,645;  284,184;  262,408; 0,00000
 179,92;  278,039;  268,881;  272,660;242,35878
 180,52;  272,263;  263,049;  266,586;260,47602
 181,12;  287,430;  284,574;  282,578; 0,00000
 181,73;  310,650;  292,652;  296,881;425,65550
 182,33;  418,199;  397,890;  417,136;105,52295
 182,93;  298,321;  290,963;  295,910;148,74569
 183,53;  262,494;  258,180;  243,740; 0,00000
 184,13;  274,507;  258,874;  250,885; 0,00000
 184,73;  318,989;  306,794;  303,394; 0,00000
 185,33;  287,492;  260,800;  373,908;23,59899
 185,93;  289,894;  253,483;  379,369;28,92339
 186,53;  316,045;  264,719;  402,883;37,14884
 187,13;  330,910;  287,420;  419,772;32,85934
 187,73;  303,623;  260,100;  388,086;34,00577
 188,33;  306,808;  254,095;  389,542;38,91790
 188,93;  311,442;  266,003;  406,332;32,38014
 189,53;  313,953;  268,991;  406,810;32,62420
 190,13;  345,761;  316,356;  458,051;20,75242
 190,73;  280,221;  234,677;  381,566;31,00565
 191,34;  330,953;  281,306;  433,694;32,57930
 191,94;  300,349;  262,013;  385,124;31,13929
 192,54;  310,318;  265,120;  407,766;31,68548
 193,14;  315,123;  287,881;  417,654;20,99180
 193,74;  307,506;  288,495;  407,401;15,98847
 194,34;  307,793;  282,422;  401,412;21,32217
 194,94;  282,460;  237,189;  367,239;34,81046
 195,54;  244,688;  219,800;  337,060;21,22437
 196,14;  282,363;  249,347;  378,001;25,66237
 196,74;  264,018;  243,875;  367,071;16,35002
 197,34;  242,746;  210,275;  361,325;21,49632
 197,94;  279,751;  234,805;  386,894;29,55217
 198,54;  294,812;  268,424;  406,032;19,17655
 199,14;  268,174;  231,971;  379,231;24,58438
