
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,414;  211,495;  220,903;94,80303
 176,32;  237,236;  239,266;  234,681; 0,00000
 176,92;  280,542;  272,880;  278,464;137,20834
 177,52;  279,561;  261,034;  277,765;110,73515
 178,12;  267,440;  246,728;  239,441; 0,00000
 178,72;  276,990;  280,728;  259,868; 0,00000
 179,32;  274,609;  264,958;  256,710; 0,00000
 179,92;  280,812;  263,342;  268,977;310,03385
 180,52;  264,233;  259,879;  273,789;31,29694
 181,12;  276,119;  277,881;  256,017; 0,00000
 181,73;  299,485;  280,188;  289,375;210,05690
 182,33;  408,672;  394,264;  386,146; 0,00000
 182,93;  294,053;  288,188;  294,880;87,64660
 183,53;  256,340;  249,497;  239,413; 0,00000
 184,13;  266,879;  254,420;  244,570; 0,00000
 184,73;  307,002;  298,267;  300,295;430,63210
 185,33;  290,299;  255,507;  366,926;31,22655
 185,93;  285,616;  249,508;  376,315;28,47482
 186,53;  290,192;  254,199;  407,611;23,46138
 187,13;  319,290;  292,198;  434,377;19,05495
 187,73;  299,412;  255,584;  389,711;32,67603
 188,33;  288,943;  254,739;  382,838;26,70161
 188,93;  306,854;  262,972;  407,196;30,42622
 189,53;  286,921;  261,127;  411,282;17,17834
 190,13;  337,267;  301,206;  452,201;23,88185
 190,73;  282,007;  234,974;  381,637;32,06867
 191,34;  310,016;  263,511;  421,861;29,36852
 191,94;  277,833;  251,278;  383,915;20,02049
 192,54;  297,720;  269,043;  407,504;20,71088
 193,14;  312,817;  277,121;  406,597;27,56974
 193,74;  305,983;  274,891;  414,642;22,24828
 194,34;  307,625;  267,429;  394,312;31,67952
 194,94;  271,617;  239,352;  369,250;24,83889
 195,54;  234,722;  219,506;  349,176;11,73394
 196,14;  266,178;  240,967;  384,854;17,52156
 196,74;  269,145;  243,045;  363,077;21,74439
 197,34;  240,439;  217,889;  356,094;16,31593
 197,94;  269,436;  241,044;  380,589;20,34624
 198,54;  275,474;  257,890;  399,498;12,41759
 199,14;  261,842;  218,351;  403,167;23,53233
