
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,949;  191,519;  191,486; 0,00000
 176,32;  212,794;  226,381;  214,940; 0,00000
 176,92;  244,575;  241,524;  244,812;92,80193
 177,52;  251,225;  247,676;  245,839; 0,00000
 178,12;  238,157;  222,611;  217,278; 0,00000
 178,72;  253,133;  259,077;  248,897; 0,00000
 179,32;  254,859;  243,304;  231,741; 0,00000
 179,92;  257,035;  248,144;  237,554; 0,00000
 180,52;  232,989;  228,126;  237,935;49,57579
 181,12;  247,352;  232,682;  237,833;284,75780
 181,73;  269,267;  263,757;  264,029; 0,00000
 182,33;  335,296;  317,286;  327,322;179,45766
 182,93;  263,869;  258,060;  265,199;81,37807
 183,53;  243,311;  223,541;  225,512;1003,31901
 184,13;  233,174;  226,770;  231,532;134,48509
 184,73;  271,802;  254,697;  264,670;171,51679
 185,33;  254,960;  232,099;  346,488;19,98494
 185,93;  269,953;  234,572;  343,963;32,34375
 186,53;  273,810;  246,720;  358,116;24,31842
 187,13;  294,623;  264,246;  412,664;20,46723
 187,73;  268,839;  228,801;  351,876;32,53135
 188,33;  273,550;  231,269;  359,775;32,90207
 188,93;  288,449;  241,675;  374,002;35,34788
 189,53;  285,006;  236,613;  379,198;33,93964
 190,13;  306,608;  276,331;  414,750;21,87333
 190,73;  261,334;  219,314;  352,281;31,60188
 191,34;  287,795;  248,296;  381,720;29,60401
 191,94;  260,538;  221,276;  358,118;28,69169
 192,54;  277,818;  259,775;  371,233;16,18850
 193,14;  277,448;  247,555;  368,494;24,71789
 193,74;  284,596;  243,865;  364,133;33,86738
 194,34;  274,355;  238,014;  369,577;27,62279
 194,94;  249,708;  207,324;  338,161;32,39450
 195,54;  230,079;  189,329;  331,243;28,71472
 196,14;  247,622;  216,165;  357,725;22,22216
 196,74;  247,404;  215,486;  327,390;28,52213
 197,34;  220,790;  195,926;  336,271;17,71622
 197,94;  248,079;  224,630;  362,240;17,04040
 198,54;  257,764;  226,165;  386,988;19,64864
 199,14;  237,304;  218,614;  377,550;11,75924
