
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,557;  211,495;  220,903;75,05884
 176,32;  244,167;  239,266;  234,681; 0,00000
 176,92;  284,389;  272,880;  278,464;206,09921
 177,52;  275,851;  261,034;  277,765;88,55904
 178,12;  258,648;  246,728;  239,441; 0,00000
 178,72;  284,337;  280,728;  259,868; 0,00000
 179,32;  266,542;  264,958;  256,710; 0,00000
 179,92;  264,596;  263,342;  268,977;22,25441
 180,52;  263,886;  259,879;  273,789;28,80711
 181,12;  266,234;  277,881;  256,017; 0,00000
 181,73;  293,916;  280,188;  289,375;149,43392
 182,33;  397,889;  394,264;  386,146; 0,00000
 182,93;  286,277;  288,188;  294,880;-28,55546
 183,53;  260,266;  249,497;  239,413; 0,00000
 184,13;  257,772;  254,420;  244,570; 0,00000
 184,73;  304,795;  298,267;  300,295;321,84489
 185,33;  272,603;  255,507;  366,926;15,34445
 185,93;  277,020;  249,508;  376,315;21,69655
 186,53;  298,296;  254,199;  407,611;28,74431
 187,13;  327,405;  292,198;  434,377;24,76219
 187,73;  284,430;  255,584;  389,711;21,50591
 188,33;  285,657;  254,739;  382,838;24,13597
 188,93;  299,109;  262,972;  407,196;25,05661
 189,53;  304,020;  261,127;  411,282;28,56599
 190,13;  344,305;  301,206;  452,201;28,54291
 190,73;  268,812;  234,974;  381,637;23,07188
 191,34;  303,638;  263,511;  421,861;25,34060
 191,94;  278,958;  251,278;  383,915;20,86933
 192,54;  287,002;  269,043;  407,504;12,97042
 193,14;  300,451;  277,121;  406,597;18,01833
 193,74;  302,569;  274,891;  414,642;19,80524
 194,34;  297,122;  267,429;  394,312;23,40173
 194,94;  266,569;  239,352;  369,250;20,95268
 195,54;  236,691;  219,506;  349,176;13,25268
 196,14;  263,852;  240,967;  384,854;15,90478
 196,74;  255,251;  243,045;  363,077;10,16886
 197,34;  225,511;  217,889;  356,094; 5,51451
 197,94;  268,381;  241,044;  380,589;19,58968
 198,54;  274,612;  257,890;  399,498;11,80882
 199,14;  256,632;  218,351;  403,167;20,71355
