
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,435;  210,429;  220,471;29,93697
 176,32;  234,297;  234,648;  230,585; 0,00000
 176,92;  276,321;  262,887;  268,668;232,38230
 177,52;  263,465;  262,888;  271,098; 7,02409
 178,12;  248,847;  248,802;  249,361; 0,00000
 178,72;  265,884;  274,414;  267,670; 0,00000
 179,32;  259,128;  266,802;  262,612; 0,00000
 179,92;  267,344;  263,191;  265,430;185,47023
 180,52;  261,565;  254,820;  268,737;48,46298
 181,12;  272,801;  276,192;  277,116; 0,00000
 181,73;  287,025;  291,885;  288,587; 0,00000
 182,33;  383,720;  389,661;  393,065;-174,56571
 182,93;  281,866;  283,427;  290,438;-22,25990
 183,53;  246,234;  251,797;  236,920; 0,00000
 184,13;  249,915;  253,876;  247,983; 0,00000
 184,73;  290,766;  300,257;  296,133; 0,00000
 185,33;  257,796;  232,186;  372,780;18,21574
 185,93;  282,682;  248,024;  381,707;25,92557
 186,53;  293,037;  264,567;  409,937;19,58479
 187,13;  313,932;  281,653;  423,343;22,78154
 187,73;  272,582;  262,717;  385,993; 8,00206
 188,33;  275,474;  252,789;  388,871;16,66949
 188,93;  292,294;  266,312;  397,447;19,81298
 189,53;  291,122;  262,685;  389,189;22,47937
 190,13;  325,674;  302,512;  438,346;17,05177
 190,73;  259,223;  236,141;  373,017;16,86339
 191,34;  292,384;  261,693;  413,108;20,26955
 191,94;  277,845;  255,246;  380,611;18,02642
 192,54;  289,335;  257,506;  424,486;19,06158
 193,14;  292,922;  268,575;  408,916;17,34863
 193,74;  293,333;  272,881;  412,134;14,68664
 194,34;  278,832;  266,808;  418,552; 7,92399
 194,94;  258,247;  227,652;  383,410;19,64242
 195,54;  227,255;  208,879;  357,892;12,33207
 196,14;  264,943;  234,502;  389,705;19,61327
 196,74;  254,499;  226,261;  383,948;17,90760
 197,34;  227,230;  201,816;  382,226;14,08672
 197,94;  262,946;  237,192;  405,872;15,26813
 198,54;  272,774;  248,810;  433,270;12,99120
 199,14;  261,518;  213,204;  426,334;22,66871
