
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,407;  219,771;  228,149;-4,34539
 176,32;  250,423;  243,540;  245,741;312,76741
 176,92;  276,287;  279,310;  276,351; 0,00000
 177,52;  276,206;  275,694;  275,625; 0,00000
 178,12;  246,004;  247,848;  237,671; 0,00000
 178,72;  283,607;  283,232;  275,907; 0,00000
 179,32;  276,873;  273,156;  272,153; 0,00000
 179,92;  270,079;  272,771;  263,888; 0,00000
 180,52;  259,740;  246,926;  261,484;88,01895
 181,12;  274,834;  277,617;  270,726; 0,00000
 181,73;  285,106;  289,079;  292,196;-127,43346
 182,33;  407,415;  381,387;  410,818;88,43528
 182,93;  292,624;  279,771;  292,658;99,73564
 183,53;  249,525;  255,771;  247,236; 0,00000
 184,13;  251,805;  255,463;  243,066; 0,00000
 184,73;  308,134;  297,694;  297,759; 0,00000
 185,33;  285,868;  256,691;  368,500;26,09511
 185,93;  280,477;  255,075;  382,746;19,89612
 186,53;  322,133;  270,306;  409,740;37,16947
 187,13;  316,774;  286,691;  442,672;19,28661
 187,73;  299,022;  258,383;  397,569;29,19799
 188,33;  289,400;  244,459;  389,070;31,07684
 188,93;  302,019;  265,151;  389,820;29,57233
 189,53;  292,505;  255,997;  401,808;25,03830
 190,13;  333,389;  303,534;  425,453;24,48705
 190,73;  265,612;  238,612;  373,568;20,00676
 191,34;  303,944;  272,382;  412,563;22,51556
 191,94;  288,987;  245,536;  389,124;30,26087
 192,54;  301,171;  257,845;  421,882;26,41221
 193,14;  320,777;  280,999;  427,015;27,24246
 193,74;  315,507;  277,460;  416,620;27,34082
 194,34;  317,936;  266,383;  422,879;32,94153
 194,94;  272,734;  229,152;  370,509;30,83069
 195,54;  252,053;  219,768;  356,227;23,65937
 196,14;  273,534;  237,307;  390,260;23,68516
 196,74;  272,126;  231,845;  381,671;26,88516
 197,34;  254,318;  216,922;  370,235;24,39213
 197,94;  267,070;  245,999;  399,200;13,75421
 198,54;  288,600;  248,999;  404,056;25,53955
 199,14;  268,056;  232,615;  417,339;19,18610
