
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,852;  186,508;  191,441;655,67120
 176,32;  234,121;  217,046;  197,097; 0,00000
 176,92;  248,183;  242,431;  238,959; 0,00000
 177,52;  264,674;  239,816;  243,861;614,43596
 178,12;  231,636;  224,815;  216,545; 0,00000
 178,72;  266,777;  250,738;  233,002; 0,00000
 179,32;  261,340;  234,123;  228,510; 0,00000
 179,92;  254,732;  240,892;  239,121; 0,00000
 180,52;  254,256;  226,662;  241,501;185,96357
 181,12;  257,969;  235,508;  249,615;159,22191
 181,73;  277,342;  253,969;  257,963;585,27826
 182,33;  380,119;  310,354;  310,442; 0,00000
 182,93;  270,319;  250,508;  254,901;450,95835
 183,53;  245,883;  230,353;  215,332; 0,00000
 184,13;  247,511;  235,815;  221,936; 0,00000
 184,73;  292,457;  257,661;  250,459; 0,00000
 185,33;  261,995;  224,043;  328,569;36,30899
 185,93;  276,632;  230,350;  348,190;39,27536
 186,53;  292,089;  239,043;  358,752;44,31241
 187,13;  312,565;  264,120;  409,434;33,33783
 187,73;  266,899;  218,889;  366,806;32,45735
 188,33;  264,856;  230,427;  357,437;27,10741
 188,93;  283,574;  238,272;  360,934;36,93212
 189,53;  280,784;  246,580;  369,895;27,73731
 190,13;  317,217;  273,809;  388,525;37,83913
 190,73;  266,747;  212,118;  334,459;44,65311
 191,34;  299,318;  255,964;  376,178;36,06406
 191,94;  267,553;  225,580;  351,484;33,33693
 192,54;  277,123;  238,043;  391,115;25,53007
 193,14;  291,085;  251,812;  378,970;30,88526
 193,74;  289,700;  238,274;  370,876;38,78248
 194,34;  285,600;  228,812;  370,051;40,20734
 194,94;  257,192;  212,043;  338,394;35,73269
 195,54;  226,114;  196,350;  334,278;21,57894
 196,14;  254,246;  211,658;  368,113;27,22036
 196,74;  254,521;  208,581;  344,120;33,89459
 197,34;  236,241;  181,813;  352,533;31,88192
 197,94;  268,405;  221,043;  371,875;31,40047
 198,54;  262,619;  217,428;  387,527;26,56747
 199,14;  249,053;  202,428;  380,116;26,23979
