
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,726;  219,771;  228,149;71,07940
 176,32;  241,328;  243,540;  245,741;-100,54629
 176,92;  286,626;  279,310;  276,351; 0,00000
 177,52;  278,798;  275,694;  275,625; 0,00000
 178,12;  262,531;  247,848;  237,671; 0,00000
 178,72;  287,392;  283,232;  275,907; 0,00000
 179,32;  268,931;  273,156;  272,153; 0,00000
 179,92;  275,284;  272,771;  263,888; 0,00000
 180,52;  249,154;  246,926;  261,484;15,30998
 181,12;  278,976;  277,617;  270,726; 0,00000
 181,73;  293,494;  289,079;  292,196;141,61346
 182,33;  406,291;  381,387;  410,818;84,61594
 182,93;  290,137;  279,771;  292,658;80,43632
 183,53;  248,282;  255,771;  247,236; 0,00000
 184,13;  256,204;  255,463;  243,066; 0,00000
 184,73;  311,715;  297,694;  297,759; 0,00000
 185,33;  276,304;  256,691;  368,500;17,54176
 185,93;  279,167;  255,075;  382,746;18,87037
 186,53;  303,508;  270,306;  409,740;23,81231
 187,13;  320,060;  286,691;  442,672;21,39310
 187,73;  294,039;  258,383;  397,569;25,61754
 188,33;  290,805;  244,459;  389,070;32,04890
 188,93;  293,345;  265,151;  389,820;22,61472
 189,53;  293,038;  255,997;  401,808;25,40338
 190,13;  331,016;  303,534;  425,453;22,54061
 190,73;  267,898;  238,612;  373,568;21,70052
 191,34;  308,665;  272,382;  412,563;25,88283
 191,94;  284,853;  245,536;  389,124;27,38187
 192,54;  289,791;  257,845;  421,882;19,47508
 193,14;  312,896;  280,999;  427,015;21,84482
 193,74;  314,755;  277,460;  416,620;26,80017
 194,34;  298,240;  266,383;  422,879;20,35598
 194,94;  270,465;  229,152;  370,509;29,22580
 195,54;  246,419;  219,768;  356,227;19,53064
 196,14;  262,253;  237,307;  390,260;16,30984
 196,74;  267,460;  231,845;  381,671;23,77103
 197,34;  247,893;  216,922;  370,235;20,20117
 197,94;  271,668;  245,999;  399,200;16,75498
 198,54;  285,395;  248,999;  404,056;23,47288
 199,14;  258,524;  232,615;  417,339;14,02623
