
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,263;  186,508;  191,441;359,93166
 176,32;  241,400;  217,046;  197,097; 0,00000
 176,92;  258,790;  242,431;  238,959; 0,00000
 177,52;  262,820;  239,816;  243,861;568,59565
 178,12;  242,044;  224,815;  216,545; 0,00000
 178,72;  280,436;  250,738;  233,002; 0,00000
 179,32;  255,928;  234,123;  228,510; 0,00000
 179,92;  259,460;  240,892;  239,121; 0,00000
 180,52;  252,873;  226,662;  241,501;176,64403
 181,12;  265,961;  235,508;  249,615;215,87490
 181,73;  280,433;  253,969;  257,963;662,67469
 182,33;  368,620;  310,354;  310,442; 0,00000
 182,93;  276,089;  250,508;  254,901;582,28997
 183,53;  246,560;  230,353;  215,332; 0,00000
 184,13;  246,484;  235,815;  221,936; 0,00000
 184,73;  281,367;  257,661;  250,459; 0,00000
 185,33;  257,993;  224,043;  328,569;32,47988
 185,93;  266,775;  230,350;  348,190;30,91099
 186,53;  285,067;  239,043;  358,752;38,44670
 187,13;  299,131;  264,120;  409,434;24,09327
 187,73;  266,671;  218,889;  366,806;32,30314
 188,33;  272,417;  230,427;  357,437;33,06077
 188,93;  271,869;  238,272;  360,934;27,38937
 189,53;  284,774;  246,580;  369,895;30,97317
 190,13;  314,521;  273,809;  388,525;35,48917
 190,73;  254,751;  212,118;  334,459;34,84781
 191,34;  289,308;  255,964;  376,178;27,73690
 191,94;  264,385;  225,580;  351,484;30,82086
 192,54;  287,559;  238,043;  391,115;32,34777
 193,14;  288,698;  251,812;  378,970;29,00770
 193,74;  282,475;  238,274;  370,876;33,33410
 194,34;  280,103;  228,812;  370,051;36,31495
 194,94;  250,274;  212,043;  338,394;30,25817
 195,54;  228,243;  196,350;  334,278;23,12280
 196,14;  258,489;  211,658;  368,113;29,93228
 196,74;  246,915;  208,581;  344,120;28,28242
 197,34;  218,108;  181,813;  352,533;21,26020
 197,94;  257,881;  221,043;  371,875;24,42328
 198,54;  266,710;  217,428;  387,527;28,97271
 199,14;  247,677;  202,428;  380,116;25,46568
