
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,597;  186,508;  191,441;386,97029
 176,32;  240,171;  217,046;  197,097; 0,00000
 176,92;  249,778;  242,431;  238,959; 0,00000
 177,52;  256,727;  239,816;  243,861;418,00383
 178,12;  228,963;  224,815;  216,545; 0,00000
 178,72;  262,767;  250,738;  233,002; 0,00000
 179,32;  261,539;  234,123;  228,510; 0,00000
 179,92;  256,251;  240,892;  239,121; 0,00000
 180,52;  241,800;  226,662;  241,501;102,01726
 181,12;  256,958;  235,508;  249,615;152,05548
 181,73;  274,207;  253,969;  257,963;506,77522
 182,33;  357,911;  310,354;  310,442; 0,00000
 182,93;  276,124;  250,508;  254,901;583,09486
 183,53;  239,613;  230,353;  215,332; 0,00000
 184,13;  240,180;  235,815;  221,936; 0,00000
 184,73;  282,494;  257,661;  250,459; 0,00000
 185,33;  270,388;  224,043;  328,569;44,33824
 185,93;  270,145;  230,350;  348,190;33,77043
 186,53;  281,610;  239,043;  358,752;35,55891
 187,13;  308,188;  264,120;  409,434;30,32579
 187,73;  269,382;  218,889;  366,806;34,13599
 188,33;  273,544;  230,427;  357,437;33,94819
 188,93;  287,229;  238,272;  360,934;39,91224
 189,53;  284,470;  246,580;  369,895;30,72661
 190,13;  314,182;  273,809;  388,525;35,19390
 190,73;  249,502;  212,118;  334,459;30,55736
 191,34;  293,444;  255,964;  376,178;31,17766
 191,94;  278,101;  225,580;  351,484;41,71464
 192,54;  277,523;  238,043;  391,115;25,79159
 193,14;  292,388;  251,812;  378,970;31,90967
 193,74;  278,605;  238,274;  370,876;30,41558
 194,34;  285,117;  228,812;  370,051;39,86475
 194,94;  246,939;  212,043;  338,394;27,61806
 195,54;  233,857;  196,350;  334,278;27,19283
 196,14;  255,967;  211,658;  368,113;28,32043
 196,74;  248,974;  208,581;  344,120;29,80177
 197,34;  241,005;  181,813;  352,533;34,67211
 197,94;  255,592;  221,043;  371,875;22,90569
 198,54;  264,720;  217,428;  387,527;27,80290
 199,14;  243,444;  202,428;  380,116;23,08334
