
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,164;  219,771;  228,149;-66,93282
 176,32;  241,425;  243,540;  245,741;-96,10574
 176,92;  281,492;  279,310;  276,351; 0,00000
 177,52;  264,984;  275,694;  275,625; 0,00000
 178,12;  248,556;  247,848;  237,671; 0,00000
 178,72;  279,772;  283,232;  275,907; 0,00000
 179,32;  271,644;  273,156;  272,153; 0,00000
 179,92;  273,577;  272,771;  263,888; 0,00000
 180,52;  259,264;  246,926;  261,484;84,75328
 181,12;  281,122;  277,617;  270,726; 0,00000
 181,73;  289,496;  289,079;  292,196;13,38388
 182,33;  401,816;  381,387;  410,818;69,41198
 182,93;  280,860;  279,771;  292,658; 8,44752
 183,53;  254,569;  255,771;  247,236; 0,00000
 184,13;  251,736;  255,463;  243,066; 0,00000
 184,73;  299,834;  297,694;  297,759; 0,00000
 185,33;  270,866;  256,691;  368,500;12,67834
 185,93;  273,882;  255,075;  382,746;14,73111
 186,53;  292,727;  270,306;  409,740;16,07985
 187,13;  307,593;  286,691;  442,672;13,40032
 187,73;  274,150;  258,383;  397,569;11,32798
 188,33;  281,027;  244,459;  389,070;25,28711
 188,93;  301,812;  265,151;  389,820;29,40686
 189,53;  281,861;  255,997;  401,808;17,73821
 190,13;  319,051;  303,534;  425,453;12,72723
 190,73;  263,513;  238,612;  373,568;18,45090
 191,34;  290,554;  272,382;  412,563;12,96337
 191,94;  286,875;  245,536;  389,124;28,78977
 192,54;  291,694;  257,845;  421,882;20,63475
 193,14;  309,882;  280,999;  427,015;19,78095
 193,74;  303,650;  277,460;  416,620;18,81997
 194,34;  287,783;  266,383;  422,879;13,67448
 194,94;  263,681;  229,152;  370,509;24,42636
 195,54;  229,370;  219,768;  356,227; 7,03652
 196,14;  258,815;  237,307;  390,260;14,06196
 196,74;  261,930;  231,845;  381,671;20,08024
 197,34;  245,198;  216,922;  370,235;18,44357
 197,94;  260,895;  245,999;  399,200; 9,72330
 198,54;  285,726;  248,999;  404,056;23,68613
 199,14;  249,781;  232,615;  417,339; 9,29307
