
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,068;  219,771;  228,149;-80,01390
 176,32;  235,796;  243,540;  245,741;-351,92207
 176,92;  285,078;  279,310;  276,351; 0,00000
 177,52;  280,283;  275,694;  275,625; 0,00000
 178,12;  248,909;  247,848;  237,671; 0,00000
 178,72;  286,483;  283,232;  275,907; 0,00000
 179,32;  274,170;  273,156;  272,153; 0,00000
 179,92;  269,232;  272,771;  263,888; 0,00000
 180,52;  256,540;  246,926;  261,484;66,03989
 181,12;  277,129;  277,617;  270,726; 0,00000
 181,73;  295,386;  289,079;  292,196;202,29882
 182,33;  398,058;  381,387;  410,818;56,64287
 182,93;  290,242;  279,771;  292,658;81,25556
 183,53;  258,119;  255,771;  247,236; 0,00000
 184,13;  243,914;  255,463;  243,066; 0,00000
 184,73;  310,288;  297,694;  297,759; 0,00000
 185,33;  269,959;  256,691;  368,500;11,86701
 185,93;  274,462;  255,075;  382,746;15,18485
 186,53;  293,975;  270,306;  409,740;16,97480
 187,13;  320,867;  286,691;  442,672;21,91036
 187,73;  279,451;  258,383;  397,569;15,13706
 188,33;  289,205;  244,459;  389,070;30,94237
 188,93;  290,508;  265,151;  389,820;20,33908
 189,53;  290,395;  255,997;  401,808;23,59070
 190,13;  326,015;  303,534;  425,453;18,43903
 190,73;  256,205;  238,612;  373,568;13,03609
 191,34;  296,882;  272,382;  412,563;17,47749
 191,94;  273,636;  245,536;  389,124;19,56980
 192,54;  284,703;  257,845;  421,882;16,37307
 193,14;  301,344;  280,999;  427,015;13,93353
 193,74;  300,636;  277,460;  416,620;16,65433
 194,34;  292,164;  266,383;  422,879;16,47396
 194,94;  253,995;  229,152;  370,509;17,57448
 195,54;  229,985;  219,768;  356,227; 7,48734
 196,14;  262,657;  237,307;  390,260;16,57386
 196,74;  259,703;  231,845;  381,671;18,59373
 197,34;  235,513;  216,922;  370,235;12,12626
 197,94;  267,929;  245,999;  399,200;14,31436
 198,54;  273,416;  248,999;  404,056;15,74702
 199,14;  242,513;  232,615;  417,339; 5,35864
