
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,013;  210,429;  220,471;-14,10472
 176,32;  240,920;  234,648;  230,585; 0,00000
 176,92;  264,392;  262,887;  268,668;26,03306
 177,52;  268,988;  262,888;  271,098;74,29896
 178,12;  249,112;  248,802;  249,361; 0,00000
 178,72;  267,057;  274,414;  267,670; 0,00000
 179,32;  264,218;  266,802;  262,612; 0,00000
 179,92;  258,453;  263,191;  265,430;-211,57438
 180,52;  253,281;  254,820;  268,737;-11,06226
 181,12;  268,738;  276,192;  277,116; 0,00000
 181,73;  296,307;  291,885;  288,587; 0,00000
 182,33;  386,700;  389,661;  393,065;-87,00592
 182,93;  278,869;  283,427;  290,438;-65,00718
 183,53;  253,147;  251,797;  236,920; 0,00000
 184,13;  250,334;  253,876;  247,983; 0,00000
 184,73;  294,694;  300,257;  296,133; 0,00000
 185,33;  271,529;  232,186;  372,780;27,98338
 185,93;  270,457;  248,024;  381,707;16,78074
 186,53;  295,681;  264,567;  409,937;21,40365
 187,13;  310,075;  281,653;  423,343;20,05892
 187,73;  281,529;  262,717;  385,993;15,25956
 188,33;  283,031;  252,789;  388,871;22,22336
 188,93;  299,807;  266,312;  397,447;25,54215
 189,53;  276,798;  262,685;  389,189;11,15625
 190,13;  325,953;  302,512;  438,346;17,25700
 190,73;  268,967;  236,141;  373,017;23,98260
 191,34;  298,932;  261,693;  413,108;24,59415
 191,94;  288,133;  255,246;  380,611;26,23286
 192,54;  295,247;  257,506;  424,486;22,60231
 193,14;  299,317;  268,575;  408,916;21,90507
 193,74;  298,910;  272,881;  412,134;18,69181
 194,34;  286,377;  266,808;  418,552;12,89609
 194,94;  267,121;  227,652;  383,410;25,34025
 195,54;  235,326;  208,879;  357,892;17,74802
 196,14;  260,186;  234,502;  389,705;16,54826
 196,74;  260,496;  226,261;  383,948;21,71075
 197,34;  237,605;  201,816;  382,226;19,83751
 197,94;  263,522;  237,192;  405,872;15,60945
 198,54;  275,868;  248,810;  433,270;14,66846
 199,14;  257,464;  213,204;  426,334;20,76689
