
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,052;  219,771;  228,149;-8,59270
 176,32;  243,403;  243,540;  245,741;-6,23466
 176,92;  285,915;  279,310;  276,351; 0,00000
 177,52;  275,027;  275,694;  275,625; 0,00000
 178,12;  251,214;  247,848;  237,671; 0,00000
 178,72;  275,780;  283,232;  275,907; 0,00000
 179,32;  266,294;  273,156;  272,153; 0,00000
 179,92;  282,746;  272,771;  263,888; 0,00000
 180,52;  262,852;  246,926;  261,484;109,39630
 181,12;  285,920;  277,617;  270,726; 0,00000
 181,73;  295,330;  289,079;  292,196;200,51761
 182,33;  400,512;  381,387;  410,818;64,98164
 182,93;  289,054;  279,771;  292,658;72,03410
 183,53;  249,567;  255,771;  247,236; 0,00000
 184,13;  253,915;  255,463;  243,066; 0,00000
 184,73;  303,576;  297,694;  297,759; 0,00000
 185,33;  275,184;  256,691;  368,500;16,53973
 185,93;  280,789;  255,075;  382,746;20,14084
 186,53;  308,671;  270,306;  409,740;27,51452
 187,13;  324,112;  286,691;  442,672;23,99094
 187,73;  296,557;  258,383;  397,569;27,42682
 188,33;  285,087;  244,459;  389,070;28,09455
 188,93;  291,389;  265,151;  389,820;21,04574
 189,53;  284,841;  255,997;  401,808;19,78154
 190,13;  325,390;  303,534;  425,453;17,92624
 190,73;  271,661;  238,612;  373,568;24,48869
 191,34;  311,019;  272,382;  412,563;27,56227
 191,94;  279,562;  245,536;  389,124;23,69662
 192,54;  299,864;  257,845;  421,882;25,61563
 193,14;  310,983;  280,999;  427,015;20,53503
 193,74;  307,051;  277,460;  416,620;21,26408
 194,34;  309,034;  266,383;  422,879;27,25362
 194,94;  276,087;  229,152;  370,509;33,20276
 195,54;  240,502;  219,768;  356,227;15,19424
 196,14;  275,175;  237,307;  390,260;24,75850
 196,74;  258,835;  231,845;  381,671;18,01473
 197,34;  227,499;  216,922;  370,235; 6,89873
 197,94;  259,841;  245,999;  399,200; 9,03568
 198,54;  283,144;  248,999;  404,056;22,02076
 199,14;  261,883;  232,615;  417,339;15,84436
