
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,776;  219,771;  228,149;35,86394
 176,32;  234,483;  243,540;  245,741;-411,59826
 176,92;  280,980;  279,310;  276,351; 0,00000
 177,52;  271,500;  275,694;  275,625; 0,00000
 178,12;  239,127;  247,848;  237,671; 0,00000
 178,72;  279,645;  283,232;  275,907; 0,00000
 179,32;  260,075;  273,156;  272,153; 0,00000
 179,92;  263,929;  272,771;  263,888; 0,00000
 180,52;  264,192;  246,926;  261,484;118,60139
 181,12;  278,017;  277,617;  270,726; 0,00000
 181,73;  296,839;  289,079;  292,196;248,91756
 182,33;  405,154;  381,387;  410,818;80,75410
 182,93;  290,405;  279,771;  292,658;82,51869
 183,53;  259,166;  255,771;  247,236; 0,00000
 184,13;  254,958;  255,463;  243,066; 0,00000
 184,73;  310,162;  297,694;  297,759; 0,00000
 185,33;  276,939;  256,691;  368,500;18,10931
 185,93;  287,761;  255,075;  382,746;25,60193
 186,53;  298,516;  270,306;  409,740;20,23149
 187,13;  331,071;  286,691;  442,672;28,45227
 187,73;  297,447;  258,383;  397,569;28,06607
 188,33;  279,367;  244,459;  389,070;24,13932
 188,93;  299,207;  265,151;  389,820;27,31668
 189,53;  289,487;  255,997;  401,808;22,96816
 190,13;  332,761;  303,534;  425,453;23,97201
 190,73;  261,266;  238,612;  373,568;16,78658
 191,34;  299,085;  272,382;  412,563;19,04933
 191,94;  285,691;  245,536;  389,124;27,96505
 192,54;  299,794;  257,845;  421,882;25,57294
 193,14;  311,882;  280,999;  427,015;21,15086
 193,74;  318,268;  277,460;  416,620;29,32465
 194,34;  306,987;  266,383;  422,879;25,94577
 194,94;  271,480;  229,152;  370,509;29,94388
 195,54;  242,714;  219,768;  356,227;16,81516
 196,14;  262,045;  237,307;  390,260;16,17403
 196,74;  266,301;  231,845;  381,671;22,99753
 197,34;  257,337;  216,922;  370,235;26,36112
 197,94;  273,828;  245,999;  399,200;18,16538
 198,54;  291,329;  248,999;  404,056;27,29984
 199,14;  268,879;  232,615;  417,339;19,63180
