
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,687;  186,508;  191,441;267,16490
 176,32;  229,483;  217,046;  197,097; 0,00000
 176,92;  250,469;  242,431;  238,959; 0,00000
 177,52;  258,099;  239,816;  243,861;451,92710
 178,12;  234,527;  224,815;  216,545; 0,00000
 178,72;  261,643;  250,738;  233,002; 0,00000
 179,32;  250,542;  234,123;  228,510; 0,00000
 179,92;  250,772;  240,892;  239,121; 0,00000
 180,52;  237,945;  226,662;  241,501;76,03642
 181,12;  249,363;  235,508;  249,615;98,21386
 181,73;  256,197;  253,969;  257,963;55,79478
 182,33;  343,056;  310,354;  310,442; 0,00000
 182,93;  267,797;  250,508;  254,901;393,54041
 183,53;  236,946;  230,353;  215,332; 0,00000
 184,13;  229,743;  235,815;  221,936; 0,00000
 184,73;  262,913;  257,661;  250,459; 0,00000
 185,33;  258,549;  224,043;  328,569;33,01164
 185,93;  270,301;  230,350;  348,190;33,90255
 186,53;  288,051;  239,043;  358,752;40,93915
 187,13;  314,048;  264,120;  409,434;34,35882
 187,73;  266,669;  218,889;  366,806;32,30217
 188,33;  276,232;  230,427;  357,437;36,06394
 188,93;  280,144;  238,272;  360,934;34,13556
 189,53;  271,699;  246,580;  369,895;20,37013
 190,13;  320,547;  273,809;  388,525;40,74192
 190,73;  267,532;  212,118;  334,459;45,29455
 191,34;  285,389;  255,964;  376,178;24,47666
 191,94;  265,017;  225,580;  351,484;31,32265
 192,54;  277,617;  238,043;  391,115;25,85291
 193,14;  290,516;  251,812;  378,970;30,43792
 193,74;  287,276;  238,274;  370,876;36,95406
 194,34;  287,417;  228,812;  370,051;41,49324
 194,94;  240,906;  212,043;  338,394;22,84338
 195,54;  239,498;  196,350;  334,278;31,28280
 196,14;  257,358;  211,658;  368,113;29,20941
 196,74;  243,598;  208,581;  344,120;25,83502
 197,34;  235,653;  181,813;  352,533;31,53721
 197,94;  258,464;  221,043;  371,875;24,80975
 198,54;  269,109;  217,428;  387,527;30,38314
 199,14;  243,234;  202,428;  380,116;22,96513
