
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,647;  210,429;  220,471;51,96291
 176,32;  236,765;  234,648;  230,585; 0,00000
 176,92;  277,978;  262,887;  268,668;261,06115
 177,52;  276,777;  262,888;  271,098;169,18446
 178,12;  235,357;  248,802;  249,361; 0,00000
 178,72;  272,191;  274,414;  267,670; 0,00000
 179,32;  268,368;  266,802;  262,612; 0,00000
 179,92;  271,375;  263,191;  265,430;365,44042
 180,52;  253,050;  254,820;  268,737;-12,72066
 181,12;  271,765;  276,192;  277,116; 0,00000
 181,73;  289,600;  291,885;  288,587; 0,00000
 182,33;  399,990;  389,661;  393,065;303,49877
 182,93;  288,499;  283,427;  290,438;72,35067
 183,53;  242,836;  251,797;  236,920; 0,00000
 184,13;  251,463;  253,876;  247,983; 0,00000
 184,73;  300,717;  300,257;  296,133; 0,00000
 185,33;  276,809;  232,186;  372,780;31,73849
 185,93;  273,524;  248,024;  381,707;19,07532
 186,53;  298,903;  264,567;  409,937;23,61988
 187,13;  307,838;  281,653;  423,343;18,48072
 187,73;  273,560;  262,717;  385,993; 8,79535
 188,33;  277,133;  252,789;  388,871;17,88930
 188,93;  289,932;  266,312;  397,447;18,01136
 189,53;  296,682;  262,685;  389,189;26,87456
 190,13;  326,581;  302,512;  438,346;17,71931
 190,73;  267,108;  236,141;  373,017;22,62449
 191,34;  308,369;  261,693;  413,108;30,82692
 191,94;  279,601;  255,246;  380,611;19,42721
 192,54;  292,010;  257,506;  424,486;20,66379
 193,14;  314,590;  268,575;  408,916;32,78775
 193,74;  295,667;  272,881;  412,134;16,36267
 194,34;  291,259;  266,808;  418,552;16,11297
 194,94;  256,158;  227,652;  383,410;18,30143
 195,54;  240,542;  208,879;  357,892;21,24875
 196,14;  274,750;  234,502;  389,705;25,93223
 196,74;  255,643;  226,261;  383,948;18,63277
 197,34;  227,975;  201,816;  382,226;14,49981
 197,94;  263,063;  237,192;  405,872;15,33762
 198,54;  286,276;  248,810;  433,270;20,31135
 199,14;  249,017;  213,204;  426,334;16,80329
