
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,252;  214,189;  215,558; 4,57992
 176,32;  243,412;  237,941;  227,089; 0,00000
 176,92;  273,401;  266,800;  265,274; 0,00000
 177,52;  267,747;  264,340;  268,527;81,35887
 178,12;  239,594;  238,942;  236,243; 0,00000
 178,72;  270,215;  273,476;  264,295; 0,00000
 179,32;  257,781;  267,557;  251,348; 0,00000
 179,92;  255,918;  254,948;  263,094;11,90185
 180,52;  250,664;  239,814;  250,957;97,36447
 181,12;  262,247;  264,488;  252,536; 0,00000
 181,73;  285,198;  265,720;  278,915;147,61439
 182,33;  387,345;  365,807;  380,210;149,54059
 182,93;  280,912;  269,955;  282,562;86,90819
 183,53;  236,122;  248,550;  241,803; 0,00000
 184,13;  255,858;  249,322;  239,610; 0,00000
 184,73;  284,144;  285,933;  290,886;-36,11893
 185,33;  272,963;  235,755;  362,541;29,34655
 185,93;  269,799;  243,974;  376,062;19,55105
 186,53;  288,611;  255,134;  395,991;23,76677
 187,13;  317,116;  275,994;  429,562;26,77798
 187,73;  275,738;  243,899;  388,560;22,00952
 188,33;  277,706;  248,507;  379,205;22,34025
 188,93;  287,333;  258,332;  392,557;21,60666
 189,53;  291,625;  257,546;  395,018;24,79024
 190,13;  325,248;  293,211;  432,470;23,00533
 190,73;  256,065;  231,998;  373,710;16,98309
 191,34;  301,432;  270,556;  402,286;23,43923
 191,94;  275,986;  243,808;  387,024;22,46846
 192,54;  288,434;  261,619;  410,675;17,99012
 193,14;  284,309;  268,685;  427,994; 9,80716
 193,74;  286,897;  266,990;  419,237;13,07509
 194,34;  282,440;  265,303;  411,983;11,68333
 194,94;  262,704;  221,915;  378,644;26,02505
 195,54;  233,974;  208,218;  354,878;17,56178
 196,14;  261,001;  235,537;  393,258;16,14476
 196,74;  260,996;  233,368;  382,966;18,46782
 197,34;  229,011;  204,545;  376,384;14,23782
 197,94;  262,446;  239,763;  400,779;14,08713
 198,54;  271,753;  243,537;  421,363;15,86748
 199,14;  247,324;  221,011;  407,982;14,07332
