
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,954;  219,771;  228,149;-176,86773
 176,32;  243,603;  243,540;  245,741; 2,84545
 176,92;  269,087;  279,310;  276,351; 0,00000
 177,52;  282,395;  275,694;  275,625; 0,00000
 178,12;  251,979;  247,848;  237,671; 0,00000
 178,72;  278,552;  283,232;  275,907; 0,00000
 179,32;  275,743;  273,156;  272,153; 0,00000
 179,92;  274,823;  272,771;  263,888; 0,00000
 180,52;  258,099;  246,926;  261,484;76,75221
 181,12;  268,548;  277,617;  270,726; 0,00000
 181,73;  304,955;  289,079;  292,196;509,24231
 182,33;  391,644;  381,387;  410,818;34,85025
 182,93;  277,727;  279,771;  292,658;-15,86498
 183,53;  252,446;  255,771;  247,236; 0,00000
 184,13;  249,743;  255,463;  243,066; 0,00000
 184,73;  305,817;  297,694;  297,759; 0,00000
 185,33;  284,168;  256,691;  368,500;24,57499
 185,93;  285,220;  255,075;  382,746;23,61124
 186,53;  304,363;  270,306;  409,740;24,42534
 187,13;  315,830;  286,691;  442,672;18,68119
 187,73;  293,372;  258,383;  397,569;25,13811
 188,33;  288,252;  244,459;  389,070;30,28343
 188,93;  296,936;  265,151;  389,820;25,49572
 189,53;  288,076;  255,997;  401,808;22,00032
 190,13;  336,893;  303,534;  425,453;27,36175
 190,73;  277,842;  238,612;  373,568;29,06889
 191,34;  303,077;  272,382;  412,563;21,89646
 191,94;  285,553;  245,536;  389,124;27,86921
 192,54;  297,686;  257,845;  421,882;24,28766
 193,14;  306,015;  280,999;  427,015;17,13229
 193,74;  308,192;  277,460;  416,620;22,08426
 194,34;  305,290;  266,383;  422,879;24,86084
 194,94;  269,654;  229,152;  370,509;28,65212
 195,54;  234,992;  219,768;  356,227;11,15680
 196,14;  273,923;  237,307;  390,260;23,93951
 196,74;  264,948;  231,845;  381,671;22,09460
 197,34;  242,794;  216,922;  370,235;16,87504
 197,94;  274,678;  245,999;  399,200;18,72029
 198,54;  278,294;  248,999;  404,056;18,89323
 199,14;  253,783;  232,615;  417,339;11,45952
