
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  223,548;  219,771;  228,149;45,07792
 176,32;  238,231;  243,540;  245,741;-241,25268
 176,92;  279,508;  279,310;  276,351; 0,00000
 177,52;  278,069;  275,694;  275,625; 0,00000
 178,12;  254,638;  247,848;  237,671; 0,00000
 178,72;  277,066;  283,232;  275,907; 0,00000
 179,32;  273,523;  273,156;  272,153; 0,00000
 179,92;  269,761;  272,771;  263,888; 0,00000
 180,52;  266,580;  246,926;  261,484;135,00352
 181,12;  263,388;  277,617;  270,726; 0,00000
 181,73;  292,635;  289,079;  292,196;114,05238
 182,33;  403,089;  381,387;  410,818;73,73799
 182,93;  288,158;  279,771;  292,658;65,08480
 183,53;  253,840;  255,771;  247,236; 0,00000
 184,13;  251,634;  255,463;  243,066; 0,00000
 184,73;  309,571;  297,694;  297,759; 0,00000
 185,33;  274,042;  256,691;  368,500;15,51810
 185,93;  275,361;  255,075;  382,746;15,88891
 186,53;  302,275;  270,306;  409,740;22,92746
 187,13;  322,135;  286,691;  442,672;22,72304
 187,73;  291,209;  258,383;  397,569;23,58457
 188,33;  275,231;  244,459;  389,070;21,27912
 188,93;  305,420;  265,151;  389,820;32,30032
 189,53;  296,077;  255,997;  401,808;27,48774
 190,13;  330,149;  303,534;  425,453;21,82980
 190,73;  279,433;  238,612;  373,568;30,24781
 191,34;  306,493;  272,382;  412,563;24,33339
 191,94;  286,186;  245,536;  389,124;28,31022
 192,54;  300,220;  257,845;  421,882;25,83280
 193,14;  314,952;  280,999;  427,015;23,25338
 193,74;  306,944;  277,460;  416,620;21,18694
 194,34;  302,291;  266,383;  422,879;22,94475
 194,94;  272,119;  229,152;  370,509;30,39596
 195,54;  246,048;  219,768;  356,227;19,25845
 196,14;  267,367;  237,307;  390,260;19,65321
 196,74;  265,171;  231,845;  381,671;22,24321
 197,34;  236,081;  216,922;  370,235;12,49685
 197,94;  274,231;  245,999;  399,200;18,42796
 198,54;  280,658;  248,999;  404,056;20,41798
 199,14;  259,205;  232,615;  417,339;14,39444
