
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,501;  219,771;  228,149; 8,70908
 176,32;  238,616;  243,540;  245,741;-223,75919
 176,92;  288,316;  279,310;  276,351; 0,00000
 177,52;  279,887;  275,694;  275,625; 0,00000
 178,12;  250,820;  247,848;  237,671; 0,00000
 178,72;  280,281;  283,232;  275,907; 0,00000
 179,32;  260,598;  273,156;  272,153; 0,00000
 179,92;  275,651;  272,771;  263,888; 0,00000
 180,52;  267,910;  246,926;  261,484;144,14091
 181,12;  273,406;  277,617;  270,726; 0,00000
 181,73;  294,176;  289,079;  292,196;163,49321
 182,33;  404,345;  381,387;  410,818;78,00639
 182,93;  293,197;  279,771;  292,658;104,18744
 183,53;  254,101;  255,771;  247,236; 0,00000
 184,13;  262,918;  255,463;  243,066; 0,00000
 184,73;  298,358;  297,694;  297,759; 0,00000
 185,33;  289,396;  256,691;  368,500;29,25081
 185,93;  297,431;  255,075;  382,746;33,17602
 186,53;  308,697;  270,306;  409,740;27,53350
 187,13;  327,958;  286,691;  442,672;26,45625
 187,73;  297,352;  258,383;  397,569;27,99816
 188,33;  288,474;  244,459;  389,070;30,43682
 188,93;  306,282;  265,151;  389,820;32,99186
 189,53;  298,776;  255,997;  401,808;29,33853
 190,13;  340,629;  303,534;  425,453;30,42582
 190,73;  284,382;  238,612;  373,568;33,91517
 191,34;  312,705;  272,382;  412,563;28,76530
 191,94;  297,968;  245,536;  389,124;36,51557
 192,54;  304,222;  257,845;  421,882;28,27250
 193,14;  317,492;  280,999;  427,015;24,99282
 193,74;  312,002;  277,460;  416,620;24,82150
 194,34;  309,494;  266,383;  422,879;27,54757
 194,94;  273,034;  229,152;  370,509;31,04290
 195,54;  247,273;  219,768;  356,227;20,15661
 196,14;  274,074;  237,307;  390,260;24,03871
 196,74;  268,656;  231,845;  381,671;24,56947
 197,34;  245,667;  216,922;  370,235;18,74940
 197,94;  271,453;  245,999;  399,200;16,61512
 198,54;  297,825;  248,999;  404,056;31,48923
 199,14;  260,132;  232,615;  417,339;14,89635
