
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,523;  186,508;  191,441;284,10870
 176,32;  222,636;  217,046;  197,097; 0,00000
 176,92;  256,840;  242,431;  238,959; 0,00000
 177,52;  255,332;  239,816;  243,861;383,51523
 178,12;  235,555;  224,815;  216,545; 0,00000
 178,72;  255,771;  250,738;  233,002; 0,00000
 179,32;  254,000;  234,123;  228,510; 0,00000
 179,92;  253,598;  240,892;  239,121; 0,00000
 180,52;  244,716;  226,662;  241,501;121,67187
 181,12;  246,165;  235,508;  249,615;75,54469
 181,73;  283,681;  253,969;  257,963;744,00477
 182,33;  352,814;  310,354;  310,442; 0,00000
 182,93;  271,557;  250,508;  254,901;479,13156
 183,53;  234,499;  230,353;  215,332; 0,00000
 184,13;  247,478;  235,815;  221,936; 0,00000
 184,73;  268,602;  257,661;  250,459; 0,00000
 185,33;  267,427;  224,043;  328,569;41,50538
 185,93;  272,406;  230,350;  348,190;35,68920
 186,53;  287,984;  239,043;  358,752;40,88342
 187,13;  307,796;  264,120;  409,434;30,05657
 187,73;  265,466;  218,889;  366,806;31,48893
 188,33;  273,421;  230,427;  357,437;33,85107
 188,93;  275,519;  238,272;  360,934;30,36500
 189,53;  277,104;  246,580;  369,895;24,75304
 190,13;  316,288;  273,809;  388,525;37,02907
 190,73;  248,398;  212,118;  334,459;29,65532
 191,34;  292,562;  255,964;  376,178;30,44352
 191,94;  263,113;  225,580;  351,484;29,81082
 192,54;  292,873;  238,043;  391,115;35,81990
 193,14;  285,517;  251,812;  378,970;26,50629
 193,74;  290,404;  238,274;  370,876;39,31358
 194,34;  284,318;  228,812;  370,051;39,29938
 194,94;  255,819;  212,043;  338,394;34,64635
 195,54;  235,095;  196,350;  334,278;28,09040
 196,14;  255,770;  211,658;  368,113;28,19464
 196,74;  236,986;  208,581;  344,120;20,95696
 197,34;  240,423;  181,813;  352,533;34,33137
 197,94;  265,228;  221,043;  371,875;29,29420
 198,54;  260,057;  217,428;  387,527;25,06163
 199,14;  250,125;  202,428;  380,116;26,84307
