
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,471;  219,771;  228,149;32,21969
 176,32;  241,710;  243,540;  245,741;-83,17727
 176,92;  273,602;  279,310;  276,351; 0,00000
 177,52;  278,249;  275,694;  275,625; 0,00000
 178,12;  260,480;  247,848;  237,671; 0,00000
 178,72;  284,137;  283,232;  275,907; 0,00000
 179,32;  265,234;  273,156;  272,153; 0,00000
 179,92;  272,105;  272,771;  263,888; 0,00000
 180,52;  260,597;  246,926;  261,484;93,90630
 181,12;  283,925;  277,617;  270,726; 0,00000
 181,73;  297,046;  289,079;  292,196;255,54500
 182,33;  408,725;  381,387;  410,818;92,88830
 182,93;  289,577;  279,771;  292,658;76,09561
 183,53;  252,147;  255,771;  247,236; 0,00000
 184,13;  252,864;  255,463;  243,066; 0,00000
 184,73;  304,563;  297,694;  297,759; 0,00000
 185,33;  271,960;  256,691;  368,500;13,65676
 185,93;  286,829;  255,075;  382,746;24,87201
 186,53;  305,763;  270,306;  409,740;25,42906
 187,13;  331,119;  286,691;  442,672;28,48287
 187,73;  288,545;  258,383;  397,569;21,67069
 188,33;  287,940;  244,459;  389,070;30,06774
 188,93;  303,375;  265,151;  389,820;30,66027
 189,53;  296,727;  255,997;  401,808;27,93324
 190,13;  334,677;  303,534;  425,453;25,54411
 190,73;  276,825;  238,612;  373,568;28,31524
 191,34;  312,344;  272,382;  412,563;28,50762
 191,94;  299,747;  245,536;  389,124;37,75473
 192,54;  304,120;  257,845;  421,882;28,21009
 193,14;  315,746;  280,999;  427,015;23,79705
 193,74;  315,351;  277,460;  416,620;27,22843
 194,34;  308,450;  266,383;  422,879;26,88046
 194,94;  264,228;  229,152;  370,509;24,81379
 195,54;  248,332;  219,768;  356,227;20,93237
 196,14;  265,588;  237,307;  390,260;18,48996
 196,74;  264,013;  231,845;  381,671;21,47026
 197,34;  246,271;  216,922;  370,235;19,14340
 197,94;  278,665;  245,999;  399,200;21,32234
 198,54;  291,804;  248,999;  404,056;27,60614
 199,14;  259,943;  232,615;  417,339;14,79400
