
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,132;  198,566;  203,486;275,72939
 176,32;  228,951;  219,407;  208,673; 0,00000
 176,92;  247,892;  225,488;  238,333;174,41337
 177,52;  261,336;  249,642;  262,106;93,81557
 178,12;  232,221;  222,099;  228,158;167,05115
 178,72;  267,624;  259,021;  245,677; 0,00000
 179,32;  253,864;  244,330;  240,398; 0,00000
 179,92;  254,334;  240,255;  252,059;119,27153
 180,52;  237,252;  231,723;  249,371;31,32688
 181,12;  262,928;  239,332;  250,633;208,80137
 181,73;  271,421;  258,641;  266,350;165,77175
 182,33;  329,282;  284,028;  295,841;383,09002
 182,93;  268,217;  254,488;  255,469; 0,00000
 183,53;  236,251;  227,174;  226,551; 0,00000
 184,13;  229,746;  237,636;  225,468; 0,00000
 184,73;  268,489;  249,327;  254,503;370,21993
 185,33;  270,413;  226,295;  344,225;37,41022
 185,93;  271,409;  240,752;  352,455;27,44525
 186,53;  286,484;  255,370;  364,379;28,54299
 187,13;  309,578;  264,836;  412,009;30,40153
 187,73;  270,328;  232,522;  362,733;29,03473
 188,33;  271,750;  233,135;  381,478;26,03068
 188,93;  287,665;  240,205;  374,876;35,24156
 189,53;  287,338;  250,277;  378,185;28,97485
 190,13;  321,552;  273,960;  414,815;33,78791
 190,73;  258,578;  215,428;  353,059;31,35230
 191,34;  300,094;  259,511;  384,128;32,56607
 191,94;  269,462;  225,133;  350,519;35,35387
 192,54;  296,373;  248,608;  384,313;35,19761
 193,14;  297,282;  260,220;  390,699;28,40446
 193,74;  289,335;  241,065;  380,441;34,63252
 194,34;  287,190;  239,375;  385,056;32,82181
 194,94;  254,778;  207,681;  342,061;35,04769
 195,54;  240,210;  204,833;  332,974;27,60760
 196,14;  252,539;  217,529;  369,402;23,05175
 196,74;  250,148;  215,678;  347,155;26,21704
 197,34;  232,732;  195,224;  346,549;24,78631
 197,94;  273,334;  229,220;  373,581;30,55773
 198,54;  273,682;  229,683;  379,896;29,29094
 199,14;  256,441;  212,610;  390,008;24,70735
