
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,239;  214,011;  210,491; 0,00000
 176,32;  237,492;  234,854;  221,035; 0,00000
 176,92;  258,813;  252,010;  252,105; 0,00000
 177,52;  261,082;  257,703;  269,755;28,03875
 178,12;  237,572;  259,162;  226,222; 0,00000
 178,72;  261,289;  267,700;  262,977; 0,00000
 179,32;  252,862;  267,008;  252,990; 0,00000
 179,92;  253,988;  252,086;  260,981;21,37669
 180,52;  255,936;  237,474;  255,204;104,12880
 181,12;  263,735;  264,779;  246,111; 0,00000
 181,73;  279,400;  271,317;  278,774;108,40247
 182,33;  346,269;  340,858;  349,872;60,02784
 182,93;  273,640;  273,087;  278,576;10,07653
 183,53;  237,597;  244,776;  235,582; 0,00000
 184,13;  243,246;  240,007;  242,458;132,17605
 184,73;  278,467;  276,391;  275,425; 0,00000
 185,33;  265,191;  235,450;  343,179;27,60707
 185,93;  276,400;  251,371;  366,993;21,64704
 186,53;  282,203;  264,296;  383,324;15,04498
 187,13;  303,762;  281,913;  402,614;18,10130
 187,73;  270,122;  244,295;  367,374;20,98451
 188,33;  275,954;  247,370;  376,787;22,08665
 188,93;  285,155;  256,828;  379,932;23,01044
 189,53;  284,676;  255,441;  383,528;22,82482
 190,13;  308,143;  286,282;  413,440;17,19203
 190,73;  265,204;  230,670;  367,501;25,23879
 191,34;  291,178;  264,519;  392,473;20,83454
 191,94;  269,042;  250,061;  358,025;17,58041
 192,54;  289,183;  255,069;  412,450;21,67624
 193,14;  303,461;  270,067;  393,208;27,11890
 193,74;  285,596;  258,913;  388,839;20,53744
 194,34;  294,176;  265,375;  387,456;23,59176
 194,94;  261,635;  225,298;  364,182;26,16376
 195,54;  240,257;  208,066;  338,321;24,71402
 196,14;  265,247;  238,222;  374,307;19,85908
 196,74;  258,389;  230,758;  370,073;19,83335
 197,34;  230,191;  208,454;  361,345;14,21749
 197,94;  261,540;  243,683;  382,730;12,84251
 198,54;  274,925;  244,914;  393,339;20,21965
 199,14;  269,187;  217,916;  394,871;28,97358
