
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,624;  202,886;  214,253;-2,30518
 176,32;  242,210;  236,502;  224,563; 0,00000
 176,92;  258,099;  261,810;  259,279; 0,00000
 177,52;  255,424;  256,040;  268,411;-4,98080
 178,12;  238,206;  228,579;  233,833;183,25293
 178,72;  264,433;  258,810;  256,007; 0,00000
 179,32;  252,504;  260,733;  253,210; 0,00000
 179,92;  260,176;  251,194;  250,799; 0,00000
 180,52;  256,921;  248,194;  249,355;751,62472
 181,12;  260,526;  252,963;  254,248;588,85941
 181,73;  276,561;  279,733;  279,385; 0,00000
 182,33;  361,944;  348,886;  358,111;141,55634
 182,93;  275,062;  273,348;  275,613;75,65399
 183,53;  239,537;  241,425;  236,281; 0,00000
 184,13;  242,777;  249,502;  235,332; 0,00000
 184,73;  288,430;  275,272;  271,335; 0,00000
 185,33;  267,191;  236,428;  336,101;30,86384
 185,93;  272,681;  234,583;  359,342;30,53753
 186,53;  277,724;  252,198;  384,040;19,36129
 187,13;  310,299;  282,736;  409,296;21,77887
 187,73;  268,924;  254,890;  367,277;12,48688
 188,33;  274,365;  248,737;  369,705;21,18565
 188,93;  285,946;  255,430;  366,881;27,38092
 189,53;  281,564;  251,969;  374,863;24,08189
 190,13;  318,620;  287,585;  411,451;25,05572
 190,73;  266,798;  233,430;  364,758;25,40767
 191,34;  297,650;  259,584;  390,135;29,15825
 191,94;  273,220;  241,583;  374,569;23,79010
 192,54;  298,081;  259,889;  412,605;25,00827
 193,14;  296,166;  261,198;  394,187;26,29417
 193,74;  299,479;  260,890;  382,181;31,81491
 194,34;  290,927;  260,505;  382,000;25,03936
 194,94;  256,342;  222,505;  351,466;26,23798
 195,54;  231,866;  209,121;  329,710;18,86215
 196,14;  254,506;  234,043;  365,416;15,57632
 196,74;  253,721;  222,736;  356,742;23,12192
 197,34;  239,059;  205,659;  339,451;24,96444
 197,94;  260,612;  232,351;  378,492;19,33808
 198,54;  273,724;  243,428;  386,908;21,11467
 199,14;  254,239;  223,966;  379,479;19,46631
