
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,773;  202,886;  214,253;25,39588
 176,32;  227,198;  236,502;  224,563; 0,00000
 176,92;  252,678;  261,810;  259,279; 0,00000
 177,52;  260,633;  256,040;  268,411;37,12904
 178,12;  234,459;  228,579;  233,833;111,91691
 178,72;  262,461;  258,810;  256,007; 0,00000
 179,32;  251,881;  260,733;  253,210; 0,00000
 179,92;  254,804;  251,194;  250,799; 0,00000
 180,52;  254,008;  248,194;  249,355;500,77466
 181,12;  255,922;  252,963;  254,248;230,32322
 181,73;  272,626;  279,733;  279,385; 0,00000
 182,33;  353,747;  348,886;  358,111;52,69099
 182,93;  268,902;  273,348;  275,613;-196,26314
 183,53;  251,351;  241,425;  236,281; 0,00000
 184,13;  237,893;  249,502;  235,332; 0,00000
 184,73;  280,309;  275,272;  271,335; 0,00000
 185,33;  259,826;  236,428;  336,101;23,47479
 185,93;  263,596;  234,583;  359,342;23,25521
 186,53;  290,048;  252,198;  384,040;28,70885
 187,13;  299,819;  282,736;  409,296;13,49781
 187,73;  277,416;  254,890;  367,277;20,04275
 188,33;  279,309;  248,737;  369,705;25,27305
 188,93;  283,352;  255,430;  366,881;25,05310
 189,53;  284,393;  251,969;  374,863;26,38388
 190,13;  313,879;  287,585;  411,451;21,22818
 190,73;  267,591;  233,430;  364,758;26,01177
 191,34;  291,553;  259,584;  390,135;24,48836
 191,94;  267,423;  241,583;  374,569;19,43027
 192,54;  278,026;  259,889;  412,605;11,87619
 193,14;  302,076;  261,198;  394,187;30,73856
 193,74;  293,390;  260,890;  382,181;26,79522
 194,34;  281,946;  260,505;  382,000;17,64790
 194,94;  266,961;  222,505;  351,466;34,47205
 195,54;  239,462;  209,121;  329,710;25,16078
 196,14;  266,412;  234,043;  365,416;24,63918
 196,74;  252,746;  222,736;  356,742;22,39415
 197,34;  230,425;  205,659;  339,451;18,51118
 197,94;  262,031;  232,351;  378,492;20,30887
 198,54;  264,480;  243,428;  386,908;14,67210
 199,14;  247,230;  223,966;  379,479;14,95951
