
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,790;  214,011;  210,491; 0,00000
 176,32;  235,758;  234,854;  221,035; 0,00000
 176,92;  259,180;  252,010;  252,105; 0,00000
 177,52;  255,808;  257,703;  269,755;-15,72241
 178,12;  240,437;  259,162;  226,222; 0,00000
 178,72;  267,479;  267,700;  262,977; 0,00000
 179,32;  245,424;  267,008;  252,990; 0,00000
 179,92;  257,929;  252,086;  260,981;65,68426
 180,52;  251,902;  237,474;  255,204;81,37738
 181,12;  253,617;  264,779;  246,111; 0,00000
 181,73;  280,901;  271,317;  278,774;128,52597
 182,33;  344,795;  340,858;  349,872;43,68348
 182,93;  289,086;  273,087;  278,576;291,50626
 183,53;  240,945;  244,776;  235,582; 0,00000
 184,13;  242,937;  240,007;  242,458;119,57152
 184,73;  294,675;  276,391;  275,425; 0,00000
 185,33;  277,260;  235,450;  343,179;38,81016
 185,93;  278,985;  251,371;  366,993;23,88291
 186,53;  302,233;  264,296;  383,324;31,87242
 187,13;  326,781;  281,913;  402,614;37,17312
 187,73;  284,760;  244,295;  367,374;32,87759
 188,33;  282,175;  247,370;  376,787;26,89351
 188,93;  288,340;  256,828;  379,932;25,59757
 189,53;  286,522;  255,441;  383,528;24,26580
 190,13;  314,769;  286,282;  413,440;22,40323
 190,73;  274,466;  230,670;  367,501;32,00742
 191,34;  308,353;  264,519;  392,473;34,25726
 191,94;  278,965;  250,061;  358,025;26,77114
 192,54;  311,165;  255,069;  412,450;35,64332
 193,14;  306,528;  270,067;  393,208;29,60909
 193,74;  306,409;  258,913;  388,839;36,55606
 194,34;  297,710;  265,375;  387,456;26,48667
 194,94;  282,575;  225,298;  364,182;41,24091
 195,54;  248,220;  208,066;  338,321;30,82700
 196,14;  275,839;  238,222;  374,307;27,64269
 196,74;  262,653;  230,758;  370,073;22,89405
 197,34;  247,243;  208,454;  361,345;25,37060
 197,94;  269,019;  243,683;  382,730;18,22126
 198,54;  291,428;  244,914;  393,339;31,33840
 199,14;  277,556;  217,916;  394,871;33,70305
