
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,896;  198,566;  203,486; 6,69802
 176,32;  235,392;  219,407;  208,673; 0,00000
 176,92;  248,621;  225,488;  238,333;180,08956
 177,52;  267,477;  249,642;  262,106;143,08638
 178,12;  223,770;  222,099;  228,158;27,58046
 178,72;  253,092;  259,021;  245,677; 0,00000
 179,32;  244,070;  244,330;  240,398; 0,00000
 179,92;  252,026;  240,255;  252,059;99,71406
 180,52;  233,774;  231,723;  249,371;11,62039
 181,12;  251,602;  239,332;  250,633;108,57807
 181,73;  278,247;  258,641;  266,350;254,30660
 182,33;  326,209;  284,028;  295,841;357,07879
 182,93;  267,577;  254,488;  255,469; 0,00000
 183,53;  226,129;  227,174;  226,551; 0,00000
 184,13;  242,590;  237,636;  225,468; 0,00000
 184,73;  274,875;  249,327;  254,503;493,60423
 185,33;  261,242;  226,295;  344,225;29,63379
 185,93;  269,932;  240,752;  352,455;26,12235
 186,53;  288,489;  255,370;  364,379;30,38167
 187,13;  314,322;  264,836;  412,009;33,62468
 187,73;  283,399;  232,522;  362,733;39,07258
 188,33;  275,019;  233,135;  381,478;28,23414
 188,93;  286,913;  240,205;  374,876;34,68289
 189,53;  292,055;  250,277;  378,185;32,66258
 190,13;  312,521;  273,960;  414,815;27,37619
 190,73;  256,321;  215,428;  353,059;29,71230
 191,34;  302,333;  259,511;  384,128;34,36282
 191,94;  277,517;  225,133;  350,519;41,77845
 192,54;  294,067;  248,608;  384,313;33,49868
 193,14;  299,039;  260,220;  390,699;29,75172
 193,74;  293,592;  241,065;  380,441;37,68678
 194,34;  292,558;  239,375;  385,056;36,50698
 194,94;  253,370;  207,681;  342,061;33,99999
 195,54;  238,607;  204,833;  332,974;26,35703
 196,14;  254,512;  217,529;  369,402;24,35110
 196,74;  260,088;  215,678;  347,155;33,77783
 197,34;  241,034;  195,224;  346,549;30,27266
 197,94;  275,018;  229,220;  373,581;31,72466
 198,54;  271,960;  229,683;  379,896;28,14461
 199,14;  273,736;  212,610;  390,008;34,45674
