
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,183;  192,833;  205,653;41,73194
 176,32;  232,780;  215,986;  216,813; 0,00000
 176,92;  252,147;  247,602;  254,971;61,67795
 177,52;  264,263;  255,679;  265,678;85,85470
 178,12;  242,505;  239,756;  224,864; 0,00000
 178,72;  260,029;  257,525;  250,340; 0,00000
 179,32;  256,693;  248,909;  241,998; 0,00000
 179,92;  253,794;  247,063;  242,319; 0,00000
 180,52;  253,757;  235,064;  254,068;98,36080
 181,12;  253,376;  243,833;  252,404;111,33987
 181,73;  281,547;  258,371;  266,338;290,92266
 182,33;  369,163;  327,141;  336,927;429,41623
 182,93;  281,070;  265,064;  266,645;1012,00427
 183,53;  246,911;  233,755;  224,030; 0,00000
 184,13;  236,692;  236,909;  229,431; 0,00000
 184,73;  283,939;  266,448;  273,739;239,89954
 185,33;  262,114;  232,445;  341,197;27,28126
 185,93;  263,610;  226,213;  348,375;30,61256
 186,53;  268,393;  244,675;  370,650;18,82725
 187,13;  311,055;  273,291;  414,063;26,82615
 187,73;  260,052;  243,598;  361,495;13,95584
 188,33;  268,999;  237,983;  370,649;23,37905
 188,93;  275,813;  250,059;  374,130;20,75725
 189,53;  271,104;  248,981;  393,125;15,34798
 190,13;  305,421;  274,058;  409,924;23,08402
 190,73;  241,196;  218,289;  365,019;15,61162
 191,34;  285,531;  256,905;  385,888;22,19404
 191,94;  259,626;  235,829;  359,614;19,22447
 192,54;  280,219;  240,984;  391,391;26,08589
 193,14;  289,000;  258,291;  390,009;23,31466
 193,74;  277,922;  260,214;  377,424;15,10768
 194,34;  272,419;  241,445;  388,106;21,11964
 194,94;  230,576;  209,983;  342,899;15,49321
 195,54;  246,213;  190,137;  332,970;39,25962
 196,14;  257,126;  225,291;  354,341;24,66848
 196,74;  248,179;  223,445;  343,719;20,56472
 197,34;  214,551;  197,522;  345,903;11,47613
 197,94;  254,807;  232,368;  373,573;15,89077
 198,54;  258,808;  228,599;  383,909;19,45086
 199,14;  234,602;  215,368;  380,241;11,66547
