
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,843;  192,833;  205,653;195,07792
 176,32;  241,826;  215,986;  216,813; 0,00000
 176,92;  281,659;  247,602;  254,971;462,15703
 177,52;  272,111;  255,679;  265,678;164,33950
 178,12;  248,482;  239,756;  224,864; 0,00000
 178,72;  283,021;  257,525;  250,340; 0,00000
 179,32;  271,123;  248,909;  241,998; 0,00000
 179,92;  256,926;  247,063;  242,319; 0,00000
 180,52;  256,844;  235,064;  254,068;114,60518
 181,12;  277,294;  243,833;  252,404;390,37146
 181,73;  283,177;  258,371;  266,338;311,38389
 182,33;  389,076;  327,141;  336,927;632,90637
 182,93;  287,837;  265,064;  266,645;1439,87247
 183,53;  256,945;  233,755;  224,030; 0,00000
 184,13;  252,835;  236,909;  229,431; 0,00000
 184,73;  296,944;  266,448;  273,739;418,27829
 185,33;  265,168;  232,445;  341,197;30,08994
 185,93;  271,809;  226,213;  348,375;37,32384
 186,53;  294,063;  244,675;  370,650;39,20473
 187,13;  321,825;  273,291;  414,063;34,47677
 187,73;  287,119;  243,598;  361,495;36,91479
 188,33;  276,053;  237,983;  370,649;28,69630
 188,93;  292,652;  250,059;  374,130;34,32915
 189,53;  285,643;  248,981;  393,125;25,43435
 190,13;  319,982;  274,058;  409,924;33,80077
 190,73;  262,311;  218,289;  365,019;30,00206
 191,34;  293,594;  256,905;  385,888;28,44479
 191,94;  275,659;  235,829;  359,614;32,17705
 192,54;  291,734;  240,984;  391,391;33,74214
 193,14;  294,985;  258,291;  390,009;27,85774
 193,74;  295,413;  260,214;  377,424;30,03097
 194,34;  293,674;  241,445;  388,106;35,61193
 194,94;  256,557;  209,983;  342,899;35,04003
 195,54;  248,275;  190,137;  332,970;40,70357
 196,14;  256,726;  225,291;  354,341;24,35878
 196,74;  248,509;  223,445;  343,719;20,83945
 197,34;  231,720;  197,522;  345,903;23,04760
 197,94;  261,812;  232,368;  373,573;20,85197
 198,54;  270,946;  228,599;  383,909;27,26616
 199,14;  238,600;  215,368;  380,241;14,09076
