
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,557;  192,833;  205,653;200,64800
 176,32;  235,187;  215,986;  216,813; 0,00000
 176,92;  278,555;  247,602;  254,971;420,02953
 177,52;  271,119;  255,679;  265,678;154,42112
 178,12;  263,369;  239,756;  224,864; 0,00000
 178,72;  285,462;  257,525;  250,340; 0,00000
 179,32;  280,793;  248,909;  241,998; 0,00000
 179,92;  270,851;  247,063;  242,319; 0,00000
 180,52;  258,227;  235,064;  254,068;121,88202
 181,12;  278,964;  243,833;  252,404;409,85506
 181,73;  292,049;  258,371;  266,338;422,74493
 182,33;  390,525;  327,141;  336,927;647,71621
 182,93;  287,465;  265,064;  266,645;1416,37655
 183,53;  255,590;  233,755;  224,030; 0,00000
 184,13;  258,279;  236,909;  229,431; 0,00000
 184,73;  299,786;  266,448;  273,739;457,25209
 185,33;  267,139;  232,445;  341,197;31,90228
 185,93;  270,560;  226,213;  348,375;36,30173
 186,53;  295,224;  244,675;  370,650;40,12606
 187,13;  313,032;  273,291;  414,063;28,23093
 187,73;  282,914;  243,598;  361,495;33,34746
 188,33;  268,673;  237,983;  370,649;23,13379
 188,93;  298,627;  250,059;  374,130;39,14551
 189,53;  280,488;  248,981;  393,125;21,85751
 190,13;  316,209;  274,058;  409,924;31,02390
 190,73;  257,173;  218,289;  365,019;26,50032
 191,34;  294,771;  256,905;  385,888;29,35744
 191,94;  277,655;  235,829;  359,614;33,78925
 192,54;  291,595;  240,984;  391,391;33,64980
 193,14;  311,371;  258,291;  390,009;40,29806
 193,74;  292,384;  260,214;  377,424;27,44617
 194,34;  302,539;  241,445;  388,106;41,65705
 194,94;  267,717;  209,983;  342,899;43,43633
 195,54;  244,773;  190,137;  332,970;38,25154
 196,14;  263,766;  225,291;  354,341;29,81422
 196,74;  261,681;  223,445;  343,719;31,79088
 197,34;  242,832;  197,522;  345,903;30,53592
 197,94;  264,090;  232,368;  373,573;22,46484
 198,54;  269,834;  228,599;  383,909;26,54989
 199,14;  248,470;  215,368;  380,241;20,07679
