
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,963;  192,833;  205,653;235,01596
 176,32;  235,037;  215,986;  216,813; 0,00000
 176,92;  276,666;  247,602;  254,971;394,39403
 177,52;  272,272;  255,679;  265,678;165,94918
 178,12;  251,592;  239,756;  224,864; 0,00000
 178,72;  286,688;  257,525;  250,340; 0,00000
 179,32;  267,952;  248,909;  241,998; 0,00000
 179,92;  271,821;  247,063;  242,319; 0,00000
 180,52;  251,020;  235,064;  254,068;83,95828
 181,12;  287,992;  243,833;  252,404;515,17027
 181,73;  298,666;  258,371;  266,338;505,81386
 182,33;  391,441;  327,141;  336,927;657,07081
 182,93;  279,391;  265,064;  266,645;905,88488
 183,53;  254,014;  233,755;  224,030; 0,00000
 184,13;  251,739;  236,909;  229,431; 0,00000
 184,73;  301,630;  266,448;  273,739;482,54423
 185,33;  275,827;  232,445;  341,197;39,89055
 185,93;  292,224;  226,213;  348,375;54,03525
 186,53;  299,239;  244,675;  370,650;43,31289
 187,13;  308,593;  273,291;  414,063;25,07751
 187,73;  286,779;  243,598;  361,495;36,62594
 188,33;  289,499;  237,983;  370,649;38,83177
 188,93;  296,284;  250,059;  374,130;37,25713
 189,53;  288,196;  248,981;  393,125;27,20536
 190,13;  328,069;  274,058;  409,924;39,75296
 190,73;  269,644;  218,289;  365,019;34,99929
 191,34;  297,227;  256,905;  385,888;31,26145
 191,94;  279,143;  235,829;  359,614;34,99123
 192,54;  296,838;  240,984;  391,391;37,13518
 193,14;  306,645;  258,291;  390,009;36,71028
 193,74;  305,389;  260,214;  377,424;38,54230
 194,34;  311,840;  241,445;  388,106;47,99887
 194,94;  268,918;  209,983;  342,899;44,34018
 195,54;  240,219;  190,137;  332,970;35,06363
 196,14;  265,711;  225,291;  354,341;31,32144
 196,74;  264,562;  223,445;  343,719;34,18660
 197,34;  235,486;  197,522;  345,903;25,58556
 197,94;  272,183;  232,368;  373,573;28,19641
 198,54;  287,164;  228,599;  383,909;37,70861
 199,14;  254,510;  215,368;  380,241;23,74070
