
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,512;  227,877;  205,653; 0,00000
 176,32;  246,236;  238,108;  216,813; 0,00000
 176,92;  279,746;  281,492;  254,971; 0,00000
 177,52;  269,968;  278,185;  265,678; 0,00000
 178,12;  248,532;  254,723;  224,864; 0,00000
 178,72;  280,049;  289,108;  250,340; 0,00000
 179,32;  260,762;  256,954;  241,998; 0,00000
 179,92;  274,966;  281,338;  242,319; 0,00000
 180,52;  253,542;  263,262;  254,068; 0,00000
 181,12;  284,225;  276,108;  252,404; 0,00000
 181,73;  288,087;  303,108;  266,338; 0,00000
 182,33;  398,272;  411,031;  336,927; 0,00000
 182,93;  290,531;  290,415;  266,645; 0,00000
 183,53;  245,570;  263,569;  224,030; 0,00000
 184,13;  258,857;  262,185;  229,431; 0,00000
 184,73;  306,412;  312,338;  273,739; 0,00000
 185,33;  276,507;  253,262;  341,197;26,43443
 185,93;  267,920;  255,338;  348,375;13,52287
 186,53;  289,573;  269,646;  370,650;19,72870
 187,13;  319,598;  297,108;  414,063;19,22955
 187,73;  287,218;  262,415;  361,495;25,03291
 188,33;  273,436;  251,877;  370,649;18,15160
 188,93;  301,831;  275,338;  374,130;26,81622
 189,53;  281,581;  265,800;  393,125;12,39470
 190,13;  331,595;  302,646;  409,924;26,98451
 190,73;  265,847;  238,877;  365,019;21,38087
 191,34;  289,383;  276,877;  385,888;11,47238
 191,94;  277,076;  247,108;  359,614;26,63697
 192,54;  290,565;  267,185;  391,391;18,82357
 193,14;  309,480;  296,723;  390,009;13,67513
 193,74;  298,899;  284,415;  377,424;15,57210
 194,34;  297,511;  278,954;  388,106;17,00141
 194,94;  257,736;  235,415;  342,899;20,76643
 195,54;  233,713;  211,569;  332,970;18,24019
 196,14;  255,824;  238,877;  354,341;14,67763
 196,74;  257,374;  246,108;  343,719;11,54208
 197,34;  240,198;  215,262;  345,903;19,08796
 197,94;  274,368;  246,185;  373,573;22,12362
 198,54;  277,965;  261,954;  383,909;13,12882
 199,14;  258,476;  224,646;  380,241;21,74221
