
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,840;  192,833;  205,653;226,26084
 176,32;  253,185;  215,986;  216,813; 0,00000
 176,92;  281,549;  247,602;  254,971;460,66966
 177,52;  281,354;  255,679;  265,678;256,78122
 178,12;  249,653;  239,756;  224,864; 0,00000
 178,72;  290,900;  257,525;  250,340; 0,00000
 179,32;  272,870;  248,909;  241,998; 0,00000
 179,92;  267,251;  247,063;  242,319; 0,00000
 180,52;  268,910;  235,064;  254,068;178,09550
 181,12;  280,018;  243,833;  252,404;422,14838
 181,73;  302,516;  258,371;  266,338;554,13109
 182,33;  408,676;  327,141;  336,927;833,19210
 182,93;  298,323;  265,064;  266,645;2102,86668
 183,53;  263,573;  233,755;  224,030; 0,00000
 184,13;  269,339;  236,909;  229,431; 0,00000
 184,73;  310,454;  266,448;  273,739;603,57247
 185,33;  286,687;  232,445;  341,197;49,87676
 185,93;  281,200;  226,213;  348,375;45,01127
 186,53;  306,112;  244,675;  370,650;48,76887
 187,13;  318,412;  273,291;  414,063;32,05276
 187,73;  280,266;  243,598;  361,495;31,10199
 188,33;  285,555;  237,983;  370,649;35,85868
 188,93;  303,608;  250,059;  374,130;43,15959
 189,53;  295,936;  248,981;  393,125;32,57514
 190,13;  333,775;  274,058;  409,924;43,95299
 190,73;  263,290;  218,289;  365,019;30,66896
 191,34;  310,188;  256,905;  385,888;41,31005
 191,94;  283,698;  235,829;  359,614;38,67137
 192,54;  299,426;  240,984;  391,391;38,85635
 193,14;  303,561;  258,291;  390,009;34,36875
 193,74;  304,572;  260,214;  377,424;37,84532
 194,34;  300,633;  241,445;  388,106;40,35679
 194,94;  277,146;  209,983;  342,899;50,52997
 195,54;  247,763;  190,137;  332,970;40,34474
 196,14;  277,766;  225,291;  354,341;40,66268
 196,74;  273,152;  223,445;  343,719;41,32857
 197,34;  249,183;  197,522;  345,903;34,81635
 197,94;  261,612;  232,368;  373,573;20,71014
 198,54;  286,835;  228,599;  383,909;37,49687
 199,14;  253,214;  215,368;  380,241;22,95431
