
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,908;  192,833;  205,653;164,38965
 176,32;  235,845;  215,986;  216,813; 0,00000
 176,92;  285,385;  247,602;  254,971;512,72279
 177,52;  282,759;  255,679;  265,678;270,83390
 178,12;  261,400;  239,756;  224,864; 0,00000
 178,72;  273,808;  257,525;  250,340; 0,00000
 179,32;  273,760;  248,909;  241,998; 0,00000
 179,92;  274,546;  247,063;  242,319; 0,00000
 180,52;  259,495;  235,064;  254,068;128,55452
 181,12;  268,331;  243,833;  252,404;285,80337
 181,73;  289,235;  258,371;  266,338;387,42425
 182,33;  408,000;  327,141;  336,927;826,28547
 182,93;  287,725;  265,064;  266,645;1432,77195
 183,53;  250,521;  233,755;  224,030; 0,00000
 184,13;  234,706;  236,909;  229,431; 0,00000
 184,73;  307,985;  266,448;  273,739;569,71043
 185,33;  272,741;  232,445;  341,197;37,05302
 185,93;  267,535;  226,213;  348,375;33,82487
 186,53;  299,774;  244,675;  370,650;43,73763
 187,13;  308,500;  273,291;  414,063;25,01133
 187,73;  283,549;  243,598;  361,495;33,88669
 188,33;  274,122;  237,983;  370,649;27,24121
 188,93;  283,929;  250,059;  374,130;27,29882
 189,53;  275,395;  248,981;  393,125;18,32479
 190,13;  320,987;  274,058;  409,924;34,54052
 190,73;  251,928;  218,289;  365,019;22,92589
 191,34;  294,647;  256,905;  385,888;29,26112
 191,94;  275,311;  235,829;  359,614;31,89624
 192,54;  286,812;  240,984;  391,391;30,46947
 193,14;  290,091;  258,291;  390,009;24,14288
 193,74;  302,838;  260,214;  377,424;36,36567
 194,34;  291,669;  241,445;  388,106;34,24485
 194,94;  250,058;  209,983;  342,899;30,15006
 195,54;  232,979;  190,137;  332,970;29,99457
 196,14;  252,537;  225,291;  354,341;21,11253
 196,74;  251,325;  223,445;  343,719;23,18062
 197,34;  228,842;  197,522;  345,903;21,10794
 197,94;  253,935;  232,368;  373,573;15,27385
 198,54;  277,067;  228,599;  383,909;31,20708
 199,14;  239,401;  215,368;  380,241;14,57617
