
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,650;  227,877;  205,653; 0,00000
 176,32;  236,713;  238,108;  216,813; 0,00000
 176,92;  286,562;  281,492;  254,971; 0,00000
 177,52;  278,592;  278,185;  265,678; 0,00000
 178,12;  262,280;  254,723;  224,864; 0,00000
 178,72;  276,596;  289,108;  250,340; 0,00000
 179,32;  270,165;  256,954;  241,998; 0,00000
 179,92;  268,695;  281,338;  242,319; 0,00000
 180,52;  261,335;  263,262;  254,068; 0,00000
 181,12;  280,503;  276,108;  252,404; 0,00000
 181,73;  299,436;  303,108;  266,338; 0,00000
 182,33;  410,006;  411,031;  336,927; 0,00000
 182,93;  299,322;  290,415;  266,645; 0,00000
 183,53;  244,336;  263,569;  224,030; 0,00000
 184,13;  256,798;  262,185;  229,431; 0,00000
 184,73;  298,451;  312,338;  273,739; 0,00000
 185,33;  263,867;  253,262;  341,197;12,06047
 185,93;  261,037;  255,338;  348,375; 6,12484
 186,53;  294,327;  269,646;  370,650;24,43545
 187,13;  309,388;  297,108;  414,063;10,50012
 187,73;  270,008;  262,415;  361,495; 7,66361
 188,33;  281,834;  251,877;  370,649;25,22206
 188,93;  294,982;  275,338;  374,130;19,88337
 189,53;  268,814;  265,800;  393,125; 2,36702
 190,13;  324,259;  302,646;  409,924;20,14613
 190,73;  261,792;  238,877;  365,019;18,16625
 191,34;  294,576;  276,877;  385,888;16,23623
 191,94;  276,034;  247,108;  359,614;25,71040
 192,54;  292,814;  267,185;  391,391;20,63434
 193,14;  282,801;  296,723;  390,009;-14,92383
 193,74;  293,118;  284,415;  377,424; 9,35682
 194,34;  302,283;  278,954;  388,106;21,37297
 194,94;  258,070;  235,415;  342,899;21,07765
 195,54;  219,348;  211,569;  332,970; 6,40741
 196,14;  260,284;  238,877;  354,341;18,53976
 196,74;  254,020;  246,108;  343,719; 8,10610
 197,34;  234,593;  215,262;  345,903;14,79764
 197,94;  259,292;  246,185;  373,573;10,28936
 198,54;  272,043;  261,954;  383,909; 8,27298
 199,14;  248,854;  224,646;  380,241;15,55837
