
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,744;  192,833;  205,653;178,71122
 176,32;  251,945;  215,986;  216,813; 0,00000
 176,92;  275,953;  247,602;  254,971;384,72796
 177,52;  275,803;  255,679;  265,678;201,26564
 178,12;  254,350;  239,756;  224,864; 0,00000
 178,72;  284,571;  257,525;  250,340; 0,00000
 179,32;  278,782;  248,909;  241,998; 0,00000
 179,92;  263,692;  247,063;  242,319; 0,00000
 180,52;  264,087;  235,064;  254,068;152,71711
 181,12;  287,485;  243,833;  252,404;509,25619
 181,73;  290,169;  258,371;  266,338;399,14278
 182,33;  412,002;  327,141;  336,927;867,18238
 182,93;  301,152;  265,064;  266,645;2281,70865
 183,53;  251,035;  233,755;  224,030; 0,00000
 184,13;  255,236;  236,909;  229,431; 0,00000
 184,73;  301,099;  266,448;  273,739;475,26769
 185,33;  287,378;  232,445;  341,197;50,51232
 185,93;  281,162;  226,213;  348,375;44,98021
 186,53;  300,063;  244,675;  370,650;43,96721
 187,13;  315,960;  273,291;  414,063;30,31034
 187,73;  286,804;  243,598;  361,495;36,64770
 188,33;  291,791;  237,983;  370,649;40,55941
 188,93;  300,289;  250,059;  374,130;40,48478
 189,53;  296,483;  248,981;  393,125;32,95468
 190,13;  337,421;  274,058;  409,924;46,63631
 190,73;  276,262;  218,289;  365,019;39,51020
 191,34;  305,347;  256,905;  385,888;37,55684
 191,94;  298,390;  235,829;  359,614;50,54017
 192,54;  297,648;  240,984;  391,391;37,67405
 193,14;  311,542;  258,291;  390,009;40,42825
 193,74;  308,811;  260,214;  377,424;41,46145
 194,34;  307,525;  241,445;  388,106;45,05643
 194,94;  276,353;  209,983;  342,899;49,93335
 195,54;  236,159;  190,137;  332,970;32,22092
 196,14;  272,259;  225,291;  354,341;36,39559
 196,74;  261,022;  223,445;  343,719;31,24332
 197,34;  231,238;  197,522;  345,903;22,72223
 197,94;  271,859;  232,368;  373,573;27,96713
 198,54;  284,481;  228,599;  383,909;35,98113
 199,14;  265,981;  215,368;  380,241;30,69811
