
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,596;  192,833;  205,653;138,54975
 176,32;  240,758;  215,986;  216,813; 0,00000
 176,92;  274,935;  247,602;  254,971;370,90406
 177,52;  266,700;  255,679;  265,678;110,22587
 178,12;  239,954;  239,756;  224,864; 0,00000
 178,72;  271,017;  257,525;  250,340; 0,00000
 179,32;  271,439;  248,909;  241,998; 0,00000
 179,92;  272,955;  247,063;  242,319; 0,00000
 180,52;  251,316;  235,064;  254,068;85,51792
 181,12;  279,019;  243,833;  252,404;410,48932
 181,73;  293,752;  258,371;  266,338;444,12950
 182,33;  387,911;  327,141;  336,927;621,00136
 182,93;  286,503;  265,064;  266,645;1355,50317
 183,53;  242,549;  233,755;  224,030; 0,00000
 184,13;  252,831;  236,909;  229,431; 0,00000
 184,73;  299,542;  266,448;  273,739;453,91125
 185,33;  282,850;  232,445;  341,197;46,34878
 185,93;  290,915;  226,213;  348,375;52,96423
 186,53;  297,728;  244,675;  370,650;42,11379
 187,13;  318,298;  273,291;  414,063;31,97175
 187,73;  294,231;  243,598;  361,495;42,94699
 188,33;  281,452;  237,983;  370,649;32,76597
 188,93;  293,831;  250,059;  374,130;35,27973
 189,53;  301,003;  248,981;  393,125;36,09038
 190,13;  341,644;  274,058;  409,924;49,74494
 190,73;  263,799;  218,289;  365,019;31,01595
 191,34;  311,062;  256,905;  385,888;41,98780
 191,94;  293,728;  235,829;  359,614;46,77435
 192,54;  300,776;  240,984;  391,391;39,75341
 193,14;  313,224;  258,291;  390,009;41,70486
 193,74;  297,184;  260,214;  377,424;31,54158
 194,34;  300,460;  241,445;  388,106;40,23927
 194,94;  274,180;  209,983;  342,899;48,29878
 195,54;  244,343;  190,137;  332,970;37,95090
 196,14;  262,598;  225,291;  354,341;28,90897
 196,74;  262,645;  223,445;  343,719;32,59276
 197,34;  237,771;  197,522;  345,903;27,12505
 197,94;  273,210;  232,368;  373,573;28,92373
 198,54;  285,510;  228,599;  383,909;36,64359
 199,14;  262,741;  215,368;  380,241;28,73265
