
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,189;  192,833;  205,653;228,98213
 176,32;  238,413;  215,986;  216,813; 0,00000
 176,92;  282,672;  247,602;  254,971;475,89569
 177,52;  272,411;  255,679;  265,678;167,34289
 178,12;  238,986;  239,756;  224,864; 0,00000
 178,72;  279,570;  257,525;  250,340; 0,00000
 179,32;  286,249;  248,909;  241,998; 0,00000
 179,92;  274,067;  247,063;  242,319; 0,00000
 180,52;  256,874;  235,064;  254,068;114,76502
 181,12;  270,962;  243,833;  252,404;316,49433
 181,73;  294,523;  258,371;  266,338;453,80160
 182,33;  402,099;  327,141;  336,927;765,98099
 182,93;  289,447;  265,064;  266,645;1541,68213
 183,53;  251,826;  233,755;  224,030; 0,00000
 184,13;  264,231;  236,909;  229,431; 0,00000
 184,73;  301,999;  266,448;  273,739;487,61113
 185,33;  281,868;  232,445;  341,197;45,44571
 185,93;  281,241;  226,213;  348,375;45,04457
 186,53;  303,433;  244,675;  370,650;46,64230
 187,13;  321,684;  273,291;  414,063;34,37673
 187,73;  295,535;  243,598;  361,495;44,05272
 188,33;  277,763;  237,983;  370,649;29,98576
 188,93;  304,571;  250,059;  374,130;43,93573
 189,53;  310,798;  248,981;  393,125;42,88580
 190,13;  334,780;  274,058;  409,924;44,69265
 190,73;  282,010;  218,289;  365,019;43,42755
 191,34;  305,880;  256,905;  385,888;37,97068
 191,94;  284,286;  235,829;  359,614;39,14593
 192,54;  303,424;  240,984;  391,391;41,51395
 193,14;  311,086;  258,291;  390,009;40,08225
 193,74;  306,614;  260,214;  377,424;39,58721
 194,34;  295,055;  241,445;  388,106;36,55370
 194,94;  273,738;  209,983;  342,899;47,96625
 195,54;  244,200;  190,137;  332,970;37,85049
 196,14;  268,695;  225,291;  354,341;33,63384
 196,74;  266,616;  223,445;  343,719;35,89417
 197,34;  245,921;  197,522;  345,903;32,61762
 197,94;  278,899;  232,368;  373,573;32,95245
 198,54;  293,762;  228,599;  383,909;41,95682
 199,14;  263,989;  215,368;  380,241;29,48955
