
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,067;  192,833;  205,653;72,02254
 176,32;  235,669;  215,986;  216,813; 0,00000
 176,92;  270,020;  247,602;  254,971;304,21498
 177,52;  256,201;  255,679;  265,678; 5,21896
 178,12;  240,798;  239,756;  224,864; 0,00000
 178,72;  262,254;  257,525;  250,340; 0,00000
 179,32;  264,041;  248,909;  241,998; 0,00000
 179,92;  252,962;  247,063;  242,319; 0,00000
 180,52;  240,765;  235,064;  254,068;29,99842
 181,12;  258,120;  243,833;  252,404;166,68114
 181,73;  277,645;  258,371;  266,338;241,93644
 182,33;  369,484;  327,141;  336,927;432,70170
 182,93;  274,769;  265,064;  266,645;613,64248
 183,53;  239,902;  233,755;  224,030; 0,00000
 184,13;  236,757;  236,909;  229,431; 0,00000
 184,73;  288,094;  266,448;  273,739;296,89405
 185,33;  246,318;  232,445;  341,197;12,75695
 185,93;  267,511;  226,213;  348,375;33,80599
 186,53;  265,112;  244,675;  370,650;16,22323
 187,13;  294,953;  273,291;  414,063;15,38825
 187,73;  262,929;  243,598;  361,495;16,39675
 188,33;  268,435;  237,983;  370,649;22,95433
 188,93;  279,262;  250,059;  374,130;23,53754
 189,53;  269,266;  248,981;  393,125;14,07260
 190,13;  310,508;  274,058;  409,924;26,82832
 190,73;  260,088;  218,289;  365,019;28,48700
 191,34;  288,401;  256,905;  385,888;24,41858
 191,94;  255,527;  235,829;  359,614;15,91375
 192,54;  270,882;  240,984;  391,391;19,87800
 193,14;  289,399;  258,291;  390,009;23,61705
 193,74;  289,402;  260,214;  377,424;24,90223
 194,34;  283,987;  241,445;  388,106;29,00690
 194,94;  242,044;  209,983;  342,899;24,12109
 195,54;  217,128;  190,137;  332,970;18,89689
 196,14;  252,089;  225,291;  354,341;20,76596
 196,74;  247,309;  223,445;  343,719;19,84191
 197,34;  221,458;  197,522;  345,903;16,13115
 197,94;  250,639;  232,368;  373,573;12,93958
 198,54;  266,770;  228,599;  383,909;24,57734
 199,14;  244,647;  215,368;  380,241;17,75841
