
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,990;  192,833;  205,653;180,62723
 176,32;  231,801;  215,986;  216,813; 0,00000
 176,92;  282,109;  247,602;  254,971;468,25814
 177,52;  267,024;  255,679;  265,678;113,46538
 178,12;  259,228;  239,756;  224,864; 0,00000
 178,72;  278,915;  257,525;  250,340; 0,00000
 179,32;  271,945;  248,909;  241,998; 0,00000
 179,92;  275,293;  247,063;  242,319; 0,00000
 180,52;  265,847;  235,064;  254,068;161,97772
 181,12;  277,047;  243,833;  252,404;387,48987
 181,73;  295,778;  258,371;  266,338;469,55635
 182,33;  398,995;  327,141;  336,927;734,26027
 182,93;  302,058;  265,064;  266,645;2338,98973
 183,53;  258,991;  233,755;  224,030; 0,00000
 184,13;  258,575;  236,909;  229,431; 0,00000
 184,73;  318,296;  266,448;  273,739;711,12418
 185,33;  270,647;  232,445;  341,197;35,12796
 185,93;  277,968;  226,213;  348,375;42,36521
 186,53;  300,921;  244,675;  370,650;44,64841
 187,13;  312,850;  273,291;  414,063;28,10133
 187,73;  286,511;  243,598;  361,495;36,39839
 188,33;  273,975;  237,983;  370,649;27,13045
 188,93;  284,013;  250,059;  374,130;27,36672
 189,53;  291,680;  248,981;  393,125;29,62232
 190,13;  333,606;  274,058;  409,924;43,82825
 190,73;  276,570;  218,289;  365,019;39,71952
 191,34;  305,872;  256,905;  385,888;37,96402
 191,94;  284,651;  235,829;  359,614;39,44123
 192,54;  291,693;  240,984;  391,391;33,71440
 193,14;  298,931;  258,291;  390,009;30,85426
 193,74;  297,742;  260,214;  377,424;32,01814
 194,34;  303,701;  241,445;  388,106;42,44874
 194,94;  260,196;  209,983;  342,899;37,77785
 195,54;  246,755;  190,137;  332,970;39,63909
 196,14;  255,987;  225,291;  354,341;23,78585
 196,74;  262,293;  223,445;  343,719;32,30005
 197,34;  235,297;  197,522;  345,903;25,45806
 197,94;  278,530;  232,368;  373,573;32,69133
 198,54;  280,822;  228,599;  383,909;33,62501
 199,14;  238,412;  215,368;  380,241;13,97677
