
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,080;  192,833;  205,653;204,72710
 176,32;  239,905;  215,986;  216,813; 0,00000
 176,92;  272,362;  247,602;  254,971;335,99988
 177,52;  272,535;  255,679;  265,678;168,58009
 178,12;  246,186;  239,756;  224,864; 0,00000
 178,72;  277,507;  257,525;  250,340; 0,00000
 179,32;  247,817;  248,909;  241,998; 0,00000
 179,92;  265,557;  247,063;  242,319; 0,00000
 180,52;  257,127;  235,064;  254,068;116,09272
 181,12;  268,248;  243,833;  252,404;284,84056
 181,73;  294,152;  258,371;  266,338;449,14279
 182,33;  394,491;  327,141;  336,927;688,23548
 182,93;  282,719;  265,064;  266,645;1116,30137
 183,53;  252,165;  233,755;  224,030; 0,00000
 184,13;  258,703;  236,909;  229,431; 0,00000
 184,73;  291,904;  266,448;  273,739;349,15343
 185,33;  277,378;  232,445;  341,197;41,31757
 185,93;  281,852;  226,213;  348,375;45,54500
 186,53;  292,350;  244,675;  370,650;37,84434
 187,13;  303,368;  273,291;  414,063;21,36577
 187,73;  275,571;  243,598;  361,495;27,11913
 188,33;  276,027;  237,983;  370,649;28,67680
 188,93;  291,250;  250,059;  374,130;33,19957
 189,53;  283,860;  248,981;  393,125;24,19710
 190,13;  319,750;  274,058;  409,924;33,63057
 190,73;  246,025;  218,289;  365,019;18,90245
 191,34;  298,414;  256,905;  385,888;32,18186
 191,94;  262,533;  235,829;  359,614;21,57347
 192,54;  289,180;  240,984;  391,391;32,04387
 193,14;  290,357;  258,291;  390,009;24,34451
 193,74;  279,754;  260,214;  377,424;16,67098
 194,34;  279,010;  241,445;  388,106;25,61343
 194,94;  254,157;  209,983;  342,899;33,23437
 195,54;  236,571;  190,137;  332,970;32,50895
 196,14;  253,947;  225,291;  354,341;22,20551
 196,74;  252,456;  223,445;  343,719;24,12117
 197,34;  236,129;  197,522;  345,903;26,01868
 197,94;  267,206;  232,368;  373,573;24,67219
 198,54;  271,474;  228,599;  383,909;27,60620
 199,14;  244,070;  215,368;  380,241;17,40811
