
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,167;  192,833;  205,653;221,01059
 176,32;  243,197;  215,986;  216,813; 0,00000
 176,92;  278,383;  247,602;  254,971;417,69646
 177,52;  268,675;  255,679;  265,678;129,97620
 178,12;  255,467;  239,756;  224,864; 0,00000
 178,72;  284,095;  257,525;  250,340; 0,00000
 179,32;  265,109;  248,909;  241,998; 0,00000
 179,92;  273,588;  247,063;  242,319; 0,00000
 180,52;  260,913;  235,064;  254,068;136,01905
 181,12;  269,106;  243,833;  252,404;294,84648
 181,73;  297,370;  258,371;  266,338;489,53700
 182,33;  396,319;  327,141;  336,927;706,92177
 182,93;  291,863;  265,064;  266,645;1694,44012
 183,53;  251,950;  233,755;  224,030; 0,00000
 184,13;  253,448;  236,909;  229,431; 0,00000
 184,73;  312,416;  266,448;  273,739;630,48386
 185,33;  267,373;  232,445;  341,197;32,11722
 185,93;  282,278;  226,213;  348,375;45,89338
 186,53;  282,976;  244,675;  370,650;30,40340
 187,13;  317,240;  273,291;  414,063;31,21985
 187,73;  291,430;  243,598;  361,495;40,57070
 188,33;  276,766;  237,983;  370,649;29,23388
 188,93;  301,732;  250,059;  374,130;41,64768
 189,53;  297,384;  248,981;  393,125;33,57967
 190,13;  330,796;  274,058;  409,924;41,76050
 190,73;  276,229;  218,289;  365,019;39,48769
 191,34;  306,768;  256,905;  385,888;38,65874
 191,94;  279,777;  235,829;  359,614;35,50347
 192,54;  292,508;  240,984;  391,391;34,25629
 193,14;  298,403;  258,291;  390,009;30,45310
 193,74;  304,223;  260,214;  377,424;37,54694
 194,34;  300,776;  241,445;  388,106;40,45493
 194,94;  270,438;  209,983;  342,899;45,48326
 195,54;  238,401;  190,137;  332,970;33,79074
 196,14;  265,129;  225,291;  354,341;30,87003
 196,74;  267,490;  223,445;  343,719;36,62032
 197,34;  247,640;  197,522;  345,903;33,77623
 197,94;  275,072;  232,368;  373,573;30,24278
 198,54;  288,657;  228,599;  383,909;38,66950
 199,14;  254,738;  215,368;  380,241;23,87888
