
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,931;  192,833;  205,653;156,76470
 176,32;  240,244;  215,986;  216,813; 0,00000
 176,92;  285,340;  247,602;  254,971;512,10872
 177,52;  267,616;  255,679;  265,678;119,39091
 178,12;  256,355;  239,756;  224,864; 0,00000
 178,72;  280,943;  257,525;  250,340; 0,00000
 179,32;  261,542;  248,909;  241,998; 0,00000
 179,92;  274,355;  247,063;  242,319; 0,00000
 180,52;  253,916;  235,064;  254,068;99,20149
 181,12;  279,018;  243,833;  252,404;410,48222
 181,73;  298,809;  258,371;  266,338;507,60278
 182,33;  406,377;  327,141;  336,927;809,70314
 182,93;  291,884;  265,064;  266,645;1695,72619
 183,53;  251,432;  233,755;  224,030; 0,00000
 184,13;  255,451;  236,909;  229,431; 0,00000
 184,73;  298,068;  266,448;  273,739;433,69567
 185,33;  278,629;  232,445;  341,197;42,46744
 185,93;  282,627;  226,213;  348,375;46,17900
 186,53;  294,198;  244,675;  370,650;39,31185
 187,13;  328,901;  273,291;  414,063;39,50336
 187,73;  286,304;  243,598;  361,495;36,22308
 188,33;  284,538;  237,983;  370,649;35,09207
 188,93;  292,900;  250,059;  374,130;34,52952
 189,53;  292,756;  248,981;  393,125;30,36891
 190,13;  343,682;  274,058;  409,924;51,24441
 190,73;  270,513;  218,289;  365,019;35,59201
 191,34;  307,907;  256,905;  385,888;39,54198
 191,94;  280,835;  235,829;  359,614;36,35818
 192,54;  305,018;  240,984;  391,391;42,57374
 193,14;  307,073;  258,291;  390,009;37,03562
 193,74;  308,449;  260,214;  377,424;41,15277
 194,34;  307,040;  241,445;  388,106;44,72546
 194,94;  264,495;  209,983;  342,899;41,01184
 195,54;  240,499;  190,137;  332,970;35,25941
 196,14;  265,832;  225,291;  354,341;31,41487
 196,74;  269,918;  223,445;  343,719;38,63902
 197,34;  239,897;  197,522;  345,903;28,55807
 197,94;  263,884;  232,368;  373,573;22,31959
 198,54;  291,283;  228,599;  383,909;40,36072
 199,14;  253,115;  215,368;  380,241;22,89466
