
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,819;  192,833;  205,653;132,49372
 176,32;  244,139;  215,986;  216,813; 0,00000
 176,92;  280,295;  247,602;  254,971;443,65204
 177,52;  280,329;  255,679;  265,678;246,52888
 178,12;  245,578;  239,756;  224,864; 0,00000
 178,72;  265,251;  257,525;  250,340; 0,00000
 179,32;  275,666;  248,909;  241,998; 0,00000
 179,92;  275,375;  247,063;  242,319; 0,00000
 180,52;  268,314;  235,064;  254,068;174,95872
 181,12;  279,306;  243,833;  252,404;413,84227
 181,73;  298,143;  258,371;  266,338;499,24308
 182,33;  394,088;  327,141;  336,927;684,12414
 182,93;  283,358;  265,064;  266,645;1156,65802
 183,53;  254,199;  233,755;  224,030; 0,00000
 184,13;  257,830;  236,909;  229,431; 0,00000
 184,73;  307,000;  266,448;  273,739;556,20288
 185,33;  267,080;  232,445;  341,197;31,84826
 185,93;  269,006;  226,213;  348,375;35,02977
 186,53;  292,858;  244,675;  370,650;38,24759
 187,13;  314,969;  273,291;  414,063;29,60648
 187,73;  277,353;  243,598;  361,495;28,63055
 188,33;  274,377;  237,983;  370,649;27,43286
 188,93;  281,446;  250,059;  374,130;25,29783
 189,53;  288,170;  248,981;  393,125;27,18699
 190,13;  325,023;  274,058;  409,924;37,51150
 190,73;  256,504;  218,289;  365,019;26,04451
 191,34;  299,258;  256,905;  385,888;32,83642
 191,94;  276,601;  235,829;  359,614;32,93798
 192,54;  284,234;  240,984;  391,391;28,75525
 193,14;  300,949;  258,291;  390,009;32,38585
 193,74;  297,791;  260,214;  377,424;32,05976
 194,34;  284,238;  241,445;  388,106;29,17819
 194,94;  255,286;  209,983;  342,899;34,08352
 195,54;  226,738;  190,137;  332,970;25,62513
 196,14;  253,118;  225,291;  354,341;21,56329
 196,74;  254,449;  223,445;  343,719;25,77814
 197,34;  222,742;  197,522;  345,903;16,99636
 197,94;  268,348;  232,368;  373,573;25,48065
 198,54;  277,030;  228,599;  383,909;31,18317
 199,14;  246,483;  215,368;  380,241;18,87172
