
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,920;  192,833;  205,653;164,48385
 176,32;  239,416;  215,986;  216,813; 0,00000
 176,92;  283,546;  247,602;  254,971;487,75784
 177,52;  278,091;  255,679;  265,678;224,15526
 178,12;  250,414;  239,756;  224,864; 0,00000
 178,72;  281,722;  257,525;  250,340; 0,00000
 179,32;  282,255;  248,909;  241,998; 0,00000
 179,92;  276,703;  247,063;  242,319; 0,00000
 180,52;  254,948;  235,064;  254,068;104,62783
 181,12;  278,454;  243,833;  252,404;403,90100
 181,73;  299,086;  258,371;  266,338;511,07600
 182,33;  403,348;  327,141;  336,927;778,75168
 182,93;  288,449;  265,064;  266,645;1478,55079
 183,53;  260,737;  233,755;  224,030; 0,00000
 184,13;  255,240;  236,909;  229,431; 0,00000
 184,73;  309,954;  266,448;  273,739;596,71556
 185,33;  268,280;  232,445;  341,197;32,95132
 185,93;  277,494;  226,213;  348,375;41,97743
 186,53;  288,627;  244,675;  370,650;34,88908
 187,13;  321,753;  273,291;  414,063;34,42551
 187,73;  275,845;  243,598;  361,495;27,35181
 188,33;  280,146;  237,983;  370,649;31,78188
 188,93;  280,643;  250,059;  374,130;24,65011
 189,53;  286,731;  248,981;  393,125;26,18886
 190,13;  330,160;  274,058;  409,924;41,29235
 190,73;  262,815;  218,289;  365,019;30,34517
 191,34;  291,691;  256,905;  385,888;26,96940
 191,94;  269,463;  235,829;  359,614;27,17182
 192,54;  291,561;  240,984;  391,391;33,62667
 193,14;  305,379;  258,291;  390,009;35,74916
 193,74;  295,114;  260,214;  377,424;29,77538
 194,34;  299,719;  241,445;  388,106;39,73398
 194,94;  267,967;  209,983;  342,899;43,62440
 195,54;  231,271;  190,137;  332,970;28,79869
 196,14;  269,584;  225,291;  354,341;34,32250
 196,74;  266,854;  223,445;  343,719;36,09190
 197,34;  235,432;  197,522;  345,903;25,54929
 197,94;  256,793;  232,368;  373,573;17,29781
 198,54;  289,654;  228,599;  383,909;39,31183
 199,14;  250,404;  215,368;  380,241;21,25022
