
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,870;  192,833;  205,653;187,49359
 176,32;  246,046;  215,986;  216,813; 0,00000
 176,92;  288,687;  247,602;  254,971;557,52490
 177,52;  265,770;  255,679;  265,678;100,92635
 178,12;  259,452;  239,756;  224,864; 0,00000
 178,72;  283,512;  257,525;  250,340; 0,00000
 179,32;  265,114;  248,909;  241,998; 0,00000
 179,92;  266,725;  247,063;  242,319; 0,00000
 180,52;  266,226;  235,064;  254,068;163,97199
 181,12;  280,059;  243,833;  252,404;422,62050
 181,73;  297,898;  258,371;  266,338;496,17262
 182,33;  408,977;  327,141;  336,927;836,26619
 182,93;  292,811;  265,064;  266,645;1754,36823
 183,53;  257,280;  233,755;  224,030; 0,00000
 184,13;  255,716;  236,909;  229,431; 0,00000
 184,73;  311,649;  266,448;  273,739;619,96693
 185,33;  270,553;  232,445;  341,197;35,04117
 185,93;  276,550;  226,213;  348,375;41,20476
 186,53;  295,922;  244,675;  370,650;40,67992
 187,13;  315,607;  273,291;  414,063;30,05968
 187,73;  281,810;  243,598;  361,495;32,41154
 188,33;  279,172;  237,983;  370,649;31,04720
 188,93;  281,792;  250,059;  374,130;25,57628
 189,53;  280,731;  248,981;  393,125;22,02656
 190,13;  322,706;  274,058;  409,924;35,80625
 190,73;  260,575;  218,289;  365,019;28,81866
 191,34;  291,379;  256,905;  385,888;26,72760
 191,94;  276,914;  235,829;  359,614;33,19068
 192,54;  289,925;  240,984;  391,391;32,53907
 193,14;  298,572;  258,291;  390,009;30,58139
 193,74;  288,453;  260,214;  377,424;24,09256
 194,34;  293,944;  241,445;  388,106;35,79619
 194,94;  256,767;  209,983;  342,899;35,19790
 195,54;  233,950;  190,137;  332,970;30,67437
 196,14;  264,452;  225,291;  354,341;30,34536
 196,74;  257,886;  223,445;  343,719;28,63566
 197,34;  231,134;  197,522;  345,903;22,65227
 197,94;  262,507;  232,368;  373,573;21,34391
 198,54;  280,981;  228,599;  383,909;33,72746
 199,14;  248,807;  215,368;  380,241;20,28143
